id,CVE_ENT,CVE_MUN,MAPA,municipio,población,enfermeras_total,tasa_total,enfermeras_primer,tasa_primer,enfermeras_segundo,tasa_segundo,enfermeras_tercer,tasa_tercer,enfermeras_apoyo,tasa_apoyo,enfermeras_escuelas,tasa_escuelas,enfermeras_administrativas,tasa_administrativas,enfermeras_no_aplica,tasa_no_aplica,enfermeras_no_asignado,tasa_no_asignado
1,04,001,04001,Calkiní,42896,83,1.934912346,35,0.815926893,47,1.095673256,0,0,0,0,1,0.023312197,0,0,0,0,0,0
2,04,002,04002,Campeche,294077,1703,5.791000316,325,1.105152732,722,2.4551393,628,2.135495125,9,0.03060423,7,0.02380329,12,0.040805639,0,0,0,0
3,04,003,04003,Carmen,248845,736,2.95766441,110,0.442042235,615,2.471417951,0,0,3,0.012055697,0,0,8,0.032148526,0,0,0,0
4,04,004,04004,Champotón,78170,137,1.752590508,79,1.010617884,57,0.729179992,0,0,1,0.012792631,0,0,0,0,0,0,0,0
5,04,005,04005,Hecelchakán,31917,127,3.979070715,29,0.908606699,97,3.039132751,0,0,1,0.031331265,0,0,0,0,0,0,0,0
6,04,006,04006,Hopelchén,42140,69,1.637399146,25,0.59326056,42,0.996677741,0,0,2,0.047460845,0,0,0,0,0,0,0,0
7,04,007,04007,Palizada,8683,42,4.83703789,12,1.382010826,28,3.224691927,0,0,2,0.230335138,0,0,0,0,0,0,0,0
8,04,008,04008,Tenabo,11452,15,1.309814879,15,1.309814879,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,04,009,04009,Escárcega,59923,191,3.187423861,74,1.234918145,107,1.785624885,0,0,3,0.050064249,2,0.033376166,5,0.083440415,0,0,0,0
10,04,010,04010,Calakmul,31714,59,1.860377121,12,0.378381787,44,1.387399886,0,0,3,0.094595447,0,0,0,0,0,0,0,0
11,04,011,04011,Candelaria,46913,110,2.344765843,26,0.554217381,77,1.64133609,0,0,7,0.149212372,0,0,0,0,0,0,0,0
12,04,012,04012,Seybaplaya,15297,16,1.045956724,16,1.045956724,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,04,013,04013,Dzitbalché,16336,15,0.918217434,15,0.918217434,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8888,8888,8888,8888,No Disponible,0,58,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0
9999,9999,9999,9999,Total Campeche,928363,3361,3.620351091,773,0.832648436,1836,1.977674681,628,0.676459531,31,0.033392111,68,0.07324721,25,0.026929121,0,0,0,0
