id,CVE_ENT,CVE_MUN,MAPA,municipio,población,enfermeras_total,tasa_total,enfermeras_primer,tasa_primer,enfermeras_segundo,tasa_segundo,enfermeras_tercer,tasa_tercer,enfermeras_apoyo,tasa_apoyo,enfermeras_escuelas,tasa_escuelas,enfermeras_administrativas,tasa_administrativas,enfermeras_no_aplica,tasa_no_aplica,enfermeras_no_asignado,tasa_no_asignado
1,07,001,07001,Acacoyagua,17994,15,0.833611204,15,0.833611204,0,0,0,0,0,0,0,0,0,0,"=BUSCARX([@[MAPA]], TablaSIARHE[MAPA], TablaSIARHE[NO APLICA],""No encontrado"")",#VALOR!,0,0
2,07,002,07002,Acala,21187,73,3.445509039,12,0.566385047,61,2.879123991,0,0,0,0,0,0,0,0,,0,0,0
3,07,003,07003,Acapetahua,26899,29,1.078106993,22,0.81787427,0,0,0,0,0,0,7,0.260232722,0,0,,0,0,0
4,07,004,07004,Altamirano,36160,54,1.493362832,9,0.248893805,45,1.244469027,0,0,0,0,0,0,0,0,,0,0,0
5,07,005,07005,Amatán,24512,54,2.203002611,16,0.652741514,38,1.550261097,0,0,0,0,0,0,0,0,,0,0,0
6,07,006,07006,Amatenango de la Frontera,31735,30,0.945328502,30,0.945328502,0,0,0,0,0,0,0,0,0,0,,0,0,0
7,07,007,07007,Amatenango del Valle,11283,5,0.443144554,5,0.443144554,0,0,0,0,0,0,0,0,0,0,,0,0,0
8,07,008,07008,Ángel Albino Corzo,31947,44,1.377281122,13,0.406923968,31,0.970357154,0,0,0,0,0,0,0,0,,0,0,0
9,07,009,07009,Arriaga,41135,147,3.573599125,37,0.899477331,110,2.674121794,0,0,0,0,0,0,0,0,,0,0,0
10,07,010,07010,Bejucal de Ocampo,7365,12,1.629327902,12,1.629327902,0,0,0,0,0,0,0,0,0,0,,0,0,0
11,07,011,07011,Bella Vista,20157,19,0.942600585,19,0.942600585,0,0,0,0,0,0,0,0,0,0,,0,0,0
12,07,012,07012,Berriozábal,64632,72,1.113999257,31,0.479638569,41,0.634360688,0,0,0,0,0,0,0,0,,0,0,0
13,07,013,07013,Bochil,37263,63,1.69068513,7,0.187853903,56,1.502831227,0,0,0,0,0,0,0,0,,0,0,0
14,07,014,07014,El Bosque,24273,21,0.865158818,21,0.865158818,0,0,0,0,0,0,0,0,0,0,,0,0,0
15,07,015,07015,Cacahoatán,50112,48,0.957854406,48,0.957854406,0,0,0,0,0,0,0,0,0,0,,0,0,0
