id,CVE_ENT,CVE_MUN,MAPA,municipio,población,enfermeras_total,tasa_total,enfermeras_primer,tasa_primer,enfermeras_segundo,tasa_segundo,enfermeras_tercer,tasa_tercer,enfermeras_apoyo,tasa_apoyo,enfermeras_escuelas,tasa_escuelas,enfermeras_administrativas,tasa_administrativas,enfermeras_no_aplica,tasa_no_aplica,enfermeras_no_asignado,tasa_no_asignado
1,08,001,08001,Ahumada,14635,13,0.888281517,13,0.888281517,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,08,002,08002,Aldama,26047,30,1.151764119,30,1.151764119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,08,003,08003,Allende,8487,74,8.719217627,2,0.23565453,72,8.483563097,0,0,0,0,0,0,0,0,0,0,0,0
4,08,004,08004,Aquiles Serdán,24344,8,0.328623069,8,0.328623069,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,08,005,08005,Ascensión,26093,2,0.07664891,2,0.07664891,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,08,006,08006,Bachíniva,5807,5,0.861029792,5,0.861029792,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,08,007,08007,Balleza,16440,24,1.459854015,19,1.155717762,0,0,0,0,5,0.304136253,0,0,0,0,0,0,0,0
8,08,008,08008,Batopilas de Manuel Gómez Morín,11270,6,0.532386868,6,0.532386868,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,08,009,08009,Bocoyna,23351,92,3.939874095,28,1.199092116,64,2.740781979,0,0,0,0,0,0,0,0,0,0,0,0
10,08,010,08010,Buenaventura,25146,5,0.198838782,5,0.198838782,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,08,011,08011,Camargo,49499,212,4.282914806,37,0.747489848,138,2.78793511,0,0,0,0,0,0,37,0.747489848,0,0,0,0
12,08,012,08012,Carichí,8113,8,0.986071737,8,0.986071737,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,08,013,08013,Casas Grandes,11815,1,0.084638172,1,0.084638172,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,08,014,08014,Coronado,2034,8,3.933136676,8,3.933136676,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,08,015,08015,Coyame del Sotol,1230,3,2.43902439,3,2.43902439,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,08,016,08016,La Cruz,3704,4,1.079913607,4,1.079913607,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,08,017,08017,Cuauhtémoc,180638,621,3.437814856,42,0.232509217,434,2.402595246,103,0.570201176,0,0,29,0.160542079,13,0.071967139,0,0,0,0
18,08,018,08018,Cusihuiriachi,5099,4,0.784467543,4,0.784467543,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,08,019,08019,Chihuahua,937674,3751,4.000324206,417,0.44471746,2759,2.942387226,428,0.456448616,2,0.002132937,108,0.115178623,37,0.039459343,0,0,0,0
20,08,020,08020,Chínipas,6222,12,1.928640309,12,1.928640309,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,08,021,08021,Delicias,150506,628,4.172591126,79,0.524896017,534,3.548031308,0,0,0,0,15,0.099663801,0,0,0,0,0,0
22,08,022,08022,Dr. Belisario Domínguez,2456,4,1.628664495,4,1.628664495,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,08,023,08023,Galeana,6656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,08,024,08024,Santa Isabel,3791,7,1.846478502,7,1.846478502,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,08,025,08025,Gómez Farías,7023,46,6.549907447,14,1.993450093,29,4.129289477,0,0,0,0,0,0,3,0.427167877,0,0,0,0
26,08,026,08026,Gran Morelos,2448,3,1.225490196,3,1.225490196,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,08,027,08027,Guachochi,50180,103,2.052610602,32,0.637704265,71,1.414906337,0,0,0,0,0,0,0,0,0,0,0,0
28,08,028,08028,Guadalupe,4237,2,0.472032098,2,0.472032098,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,08,029,08029,Guadalupe y Calvo,50514,102,2.01924219,22,0.435522825,76,1.504533397,0,0,4,0.079185968,0,0,0,0,0,0,0,0
30,08,030,08030,Guazapares,8196,35,4.270375793,26,3.172279161,0,0,0,0,0,0,0,0,9,1.098096633,0,0,0,0
31,08,031,08031,Guerrero,35473,43,1.212189553,43,1.212189553,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,08,032,08032,Hidalgo del Parral,116662,870,7.457441155,45,0.385729715,647,5.545936123,124,1.062899659,37,0.317155543,17,0.145720115,0,0,0,0,0,0
33,08,033,08033,Huejotitán,824,1,1.213592233,1,1.213592233,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,08,034,08034,Ignacio Zaragoza,5196,11,2.117013087,11,2.117013087,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,08,035,08035,Janos,11005,2,0.181735575,2,0.181735575,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,08,036,08036,Jiménez,40859,84,2.055850608,50,1.2237206,30,0.73423236,0,0,0,0,4,0.097897648,0,0,0,0,0,0
37,08,037,08037,Juárez,1512450,3110,2.056266323,362,0.239346755,2202,1.455915898,480,0.317365863,0,0,20,0.013223578,46,0.030414229,0,0,0,0
38,08,038,08038,Julimes,4980,3,0.602409639,3,0.602409639,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,08,039,08039,López,4122,7,1.698204755,7,1.698204755,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,08,040,08040,Madera,25144,24,0.954502068,24,0.954502068,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,08,041,08041,Maguarichi,1302,3,2.304147465,3,2.304147465,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,08,042,08042,Manuel Benavides,1178,2,1.697792869,2,1.697792869,0,0,0,0,0,0,0,0,0,0,0,0,0,0
