id,CVE_ENT,CVE_MUN,MAPA,municipio,población,enfermeras_total,tasa_total,enfermeras_primer,tasa_primer,enfermeras_segundo,tasa_segundo,enfermeras_tercer,tasa_tercer,enfermeras_apoyo,tasa_apoyo,enfermeras_escuelas,tasa_escuelas,enfermeras_administrativas,tasa_administrativas,enfermeras_no_aplica,tasa_no_aplica,enfermeras_no_asignado,tasa_no_asignado
1,09,002,09002,Álvaro Obregón,432205,6551,15.15715922,648,1.499288532,3659,8.465890029,2215,5.124882868,0,0,0,0,5,0.011568584,24,0.055529205,0,0
2,09,003,09003,Azcapotzalco,614447,3137,5.105403721,506,0.823504712,1515,2.465631698,989,1.609577392,0,0,26,0.042314471,19,0.030922114,82,0.133453333,0,0
3,09,004,09004,Benito Juárez,217686,340,1.561882712,184,0.845254173,150,0.689065902,0,0,0,0,0,0,6,0.027562636,0,0,0,0
4,09,005,09005,Coyoacán,1173351,7355,6.268371527,889,0.757659047,2699,2.300249456,3763,3.207053985,0,0,0,0,4,0.00340904,0,0,0,0
5,09,006,09006,Cuajimalpa de Morelos,404695,1751,4.326715181,267,0.659756113,1337,3.303722556,133,0.328642558,0,0,0,0,14,0.034593953,0,0,0,0
6,09,007,09007,Cuauhtémoc,1835486,3991,2.174356002,1091,0.594392984,1426,0.776905953,1438,0.783443731,0,0,0,0,32,0.017434075,4,0.002179259,0,0
7,09,008,09008,Gustavo A. Madero,247622,321,1.296330698,207,0.835951571,0,0,84,0.339226725,0,0,1,0.004038413,17,0.068653028,12,0.048460961,0,0
8,09,009,09009,Iztacalco,152685,410,2.685267053,143,0.936568753,211,1.381930118,0,0,0,0,44,0.288175001,12,0.078593182,0,0,0,0
9,09,010,09010,Iztapalapa,759137,3830,5.045202645,391,0.515058547,2580,3.398596037,837,1.102567784,0,0,0,0,4,0.005269141,18,0.023711135,0,0
10,09,011,09011,La Magdalena Contreras,392313,1551,3.953475924,188,0.479209203,1170,2.982312592,182,0.463915292,0,0,0,0,11,0.028038836,0,0,0,0
11,09,012,09012,Miguel Hidalgo,699928,7101,10.14532923,356,0.508623744,1219,1.741607708,5518,7.883668034,0,0,0,0,8,0.011429747,0,0,0,0
12,09,013,09013,Milpa Alta,442178,551,1.24610451,243,0.549552443,35,0.079153644,266,0.601567694,0,0,0,0,7,0.015830729,0,0,0,0
13,09,014,09014,Tláhuac,434153,4303,9.911252485,361,0.831504101,2690,6.195972388,1225,2.821585939,0,0,9,0.020730019,5,0.011516677,13,0.029943361,0,0
14,09,015,09015,Tlalpan,545884,8861,16.23238637,968,1.773270512,852,1.560771153,6950,12.73164262,20,0.03663782,50,0.091594551,21,0.038469712,0,0,0,0
15,09,016,09016,Venustiano Carranza,414470,2657,6.410596666,345,0.832388351,898,2.166622433,1301,3.138948537,0,0,106,0.255748305,7,0.016889039,0,0,0,0
16,09,017,09017,Xochimilco,443704,1258,2.835223482,455,1.025458414,350,0.788814164,442,0.996159602,0,0,0,0,11,0.024791302,0,0,0,0
8888,8888,8888,8888,No Disponible,0,835,0,46,0,60,0,461,0,0,0,249,0,0,0,0,0,19,0
9999,9999,9999,9999,Total Ciudad de México,9209944,54803,5.950416202,7288,0.791318601,20851,2.263965992,25804,2.801754278,20,0.002171566,485,0.052660472,183,0.019869828,153,0.016612479,19,0.002062988
