id,CVE_ENT,CVE_MUN,MAPA,municipio,población,enfermeras_total,tasa_total,enfermeras_primer,tasa_primer,enfermeras_segundo,tasa_segundo,enfermeras_tercer,tasa_tercer,enfermeras_apoyo,tasa_apoyo,enfermeras_escuelas,tasa_escuelas,enfermeras_administrativas,tasa_administrativas,enfermeras_no_aplica,tasa_no_aplica,enfermeras_no_asignado,tasa_no_asignado
1,05,001,05001,Abasolo,1022,1,0.978473581,1,0.978473581,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,05,002,05002,Acuña,163058,324,1.987023022,61,0.374100013,249,1.52706399,0,0,0,0,0,0,14,0.085859019,0,0,0,0
3,05,003,05003,Allende,23056,66,2.86259542,13,0.563844552,53,2.298750867,0,0,0,0,0,0,0,0,0,0,0,0
4,05,004,05004,Arteaga,29578,21,0.709987153,21,0.709987153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,05,005,05005,Candela,1643,2,1.217285453,2,1.217285453,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,05,006,05006,Castaños,29128,25,0.858280692,25,0.858280692,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,05,007,05007,Cuatro Ciénegas,12715,68,5.348014157,13,1.022414471,40,3.14589068,0,0,0,0,0,0,15,1.179709005,0,0,0,0
8,05,008,05008,Escobedo,3047,6,1.969149984,6,1.969149984,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,05,009,05009,Francisco I. Madero,59035,196,3.320064369,19,0.321842975,146,2.473109173,0,0,0,0,0,0,31,0.525112222,0,0,0,0
10,05,010,05010,Frontera,82409,32,0.388307102,32,0.388307102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,05,011,05011,General Cepeda,11898,32,2.689527652,32,2.689527652,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,05,012,05012,Guerrero,1643,2,1.217285453,2,1.217285453,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,05,013,05013,Hidalgo,1735,1,0.576368876,1,0.576368876,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,05,014,05014,Jiménez,9502,4,0.420964008,4,0.420964008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,05,015,05015,Juárez,1584,3,1.893939394,3,1.893939394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,05,016,05016,Lamadrid,1764,2,1.133786848,2,1.133786848,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,05,017,05017,Matamoros,118337,172,1.453476089,30,0.253513271,128,1.081656625,0,0,0,0,14,0.118306193,0,0,0,0,0,0
18,05,018,05018,Monclova,237951,1066,4.479913932,35,0.147089107,984,4.135305168,0,0,0,0,0,0,47,0.197519657,0,0,0,0
19,05,019,05019,Morelos,7928,38,4.793138244,38,4.793138244,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,05,020,05020,Múzquiz,71627,296,4.13251986,67,0.935401455,229,3.197118405,0,0,0,0,0,0,0,0,0,0,0,0
21,05,021,05021,Nadadores,6539,7,1.070500076,7,1.070500076,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,05,022,05022,Nava,33129,13,0.392405445,13,0.392405445,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,05,023,05023,Ocampo,9642,12,1.244555072,12,1.244555072,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,05,024,05024,Parras,44472,196,4.407267494,18,0.404749056,178,4.002518439,0,0,0,0,0,0,0,0,0,0,0,0
25,05,025,05025,Piedras Negras,176327,648,3.674990217,62,0.351619434,570,3.232630284,0,0,0,0,4,0.022685125,12,0.068055374,0,0,0,0
26,05,026,05026,Progreso,3239,4,1.234949058,4,1.234949058,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,05,027,05027,Ramos Arizpe,122243,134,1.096177286,56,0.458103941,78,0.638073346,0,0,0,0,0,0,0,0,0,0,0,0
28,05,028,05028,Sabinas,64811,112,1.728101711,34,0.524602305,71,1.095493049,0,0,0,0,0,0,7,0.108006357,0,0,0,0
29,05,029,05029,Sacramento,2471,9,3.642250101,9,3.642250101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,05,030,05030,Saltillo,879958,2191,2.489891563,544,0.618211324,1502,1.706899647,91,0.103414027,0,0,14,0.01590985,40,0.045456715,0,0,0,0
31,05,031,05031,San Buenaventura,24759,80,3.231148269,15,0.6058403,65,2.625307969,0,0,0,0,0,0,0,0,0,0,0,0
32,05,032,05032,San Juan de Sabinas,42260,325,7.690487459,25,0.591575958,300,7.0989115,0,0,0,0,0,0,0,0,0,0,0,0
33,05,033,05033,San Pedro,101041,251,2.484140102,35,0.346394038,216,2.137746063,0,0,0,0,0,0,0,0,0,0,0,0
34,05,034,05034,Sierra Mojada,6744,8,1.18623962,8,1.18623962,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,05,035,05035,Torreón,720848,2985,4.140956207,244,0.338490223,1781,2.470701174,843,1.169455974,1,0.001387255,79,0.109593146,37,0.051328435,0,0,0,0
36,05,036,05036,Viesca,20305,17,0.837232209,17,0.837232209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,05,037,05037,Villa Unión,6188,6,0.969618617,6,0.969618617,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,05,038,05038,Zaragoza,13135,22,1.674914351,22,1.674914351,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8888,8888,8888,8888,No Disponible,0,397,0,35,0,203,0,37,0,0,0,118,0,0,0,0,0,4,0
9999,9999,9999,9999,Total Coahuila,3146771,9774,3.106041081,1573,0.499877493,6793,2.158720797,971,0.308570277,1,0.000317786,229,0.072773011,203,0.064510573,0,0,4,0.001271144
