id,CVE_ENT,CVE_MUN,MAPA,municipio,población,enfermeras_total,tasa_total,enfermeras_primer,tasa_primer,enfermeras_segundo,tasa_segundo,enfermeras_tercer,tasa_tercer,enfermeras_apoyo,tasa_apoyo,enfermeras_escuelas,tasa_escuelas,enfermeras_administrativas,tasa_administrativas,enfermeras_no_aplica,tasa_no_aplica,enfermeras_no_asignado,tasa_no_asignado
1,06,001,06001,Armería,27626,40,1.447911388,40,1.447911388,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,06,002,06002,Colima,157048,1540,9.805919209,163,1.037899241,1244,7.921145128,85,0.541235801,1,0.00636748,41,0.26106668,5,0.0318374,1,0.00636748,0,0
3,06,003,06003,Comala,21661,20,0.923318406,12,0.553991044,0,0,0,0,8,0.369327363,0,0,0,0,0,0,0,0
4,06,004,06004,Coquimatlán,20837,21,1.007822623,21,1.007822623,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,06,005,06005,Cuauhtémoc,31267,30,0.959478044,30,0.959478044,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,06,006,06006,Ixtlahuacán,5623,61,10.84830162,4,0.711364041,57,10.13693758,0,0,0,0,0,0,0,0,0,0,0,0
7,06,007,06007,Manzanillo,191031,461,2.413220891,143,0.748569604,303,1.58613,0,0,0,0,0,0,15,0.078521287,0,0,0,0
8,06,008,06008,Minatitlán,10231,12,1.172905874,12,1.172905874,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,06,009,06009,Tecomán,116305,375,3.224280985,86,0.739435106,280,2.407463136,0,0,0,0,9,0.077382744,0,0,0,0,0,0
10,06,010,06010,Villa de Álvarez,149762,245,1.635929007,61,0.407312937,184,1.228616071,0,0,0,0,0,0,0,0,0,0,0,0
8888,8888,8888,8888,No Disponible,0,49,0,4,0,0,0,0,0,0,0,31,0,0,0,0,0,14,0
9999,9999,9999,9999,Total Colima,731391,2854,3.902153568,576,0.787540454,2068,2.82748899,85,0.116216907,9,0.01230532,81,0.110747876,20,0.027345155,1,0.001367258,14,0.019141608
