id,CVE_ENT,CVE_MUN,MAPA,municipio,población,enfermeras_total,tasa_total,enfermeras_primer,tasa_primer,enfermeras_segundo,tasa_segundo,enfermeras_tercer,tasa_tercer,enfermeras_apoyo,tasa_apoyo,enfermeras_escuelas,tasa_escuelas,enfermeras_administrativas,tasa_administrativas,enfermeras_no_aplica,tasa_no_aplica,enfermeras_no_asignado,tasa_no_asignado
1,11,001,11001,Abasolo,92040,121,1.314645806,58,0.6301608,63,0.684485007,0,0,0,0,0,0,0,0,0,0,0,0
2,11,002,11002,Acámbaro,108697,396,3.643154825,92,0.846389505,283,2.603567716,0,0,0,0,7,0.064399201,14,0.128798403,0,0,0,0
3,11,003,11003,San Miguel de Allende,174615,301,1.723792343,114,0.652864874,179,1.02511239,0,0,0,0,0,0,8,0.045815079,0,0,0,0
4,11,004,11004,Apaseo el Alto,63392,96,1.514386673,37,0.583669864,59,0.93071681,0,0,0,0,0,0,0,0,0,0,0,0
5,11,005,11005,Apaseo el Grande,117883,120,1.017958484,59,0.500496255,61,0.517462229,0,0,0,0,0,0,0,0,0,0,0,0
6,11,006,11006,Atarjea,5296,16,3.021148036,16,3.021148036,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11,007,11007,Celaya,521169,1783,3.421155134,243,0.466259505,1319,2.530848918,198,0.379915152,0,0,6,0.01151258,17,0.032618978,0,0,0,0
8,11,008,11008,Manuel Doblado,41240,86,2.085354025,40,0.969932105,46,1.11542192,0,0,0,0,0,0,0,0,0,0,0,0
9,11,009,11009,Comonfort,82216,110,1.337939087,47,0.571664883,63,0.766274205,0,0,0,0,0,0,0,0,0,0,0,0
10,11,010,11010,Coroneo,11083,31,2.797076604,31,2.797076604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,011,11011,Cortazar,97928,129,1.317294339,62,0.633118209,67,0.684176129,0,0,0,0,0,0,0,0,0,0,0,0
12,11,012,11012,Cuerámaro,30857,14,0.453705804,5,0.162037787,9,0.291668017,0,0,0,0,0,0,0,0,0,0,0,0
13,11,013,11013,Doctor Mora,27390,30,1.095290252,30,1.095290252,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,11,014,11014,Dolores Hidalgo Cuna de la Independencia Nacional,163038,230,1.410714067,80,0.490683154,150,0.920030913,0,0,0,0,0,0,0,0,0,0,0,0
15,11,015,11015,Guanajuato,194500,492,2.529562982,82,0.42159383,389,2,0,0,0,0,0,0,21,0.107969152,0,0,0,0
16,11,016,11016,Huanímaro,21128,35,1.656569481,6,0.28398334,29,1.372586142,0,0,0,0,0,0,0,0,0,0,0,0
17,11,017,11017,Irapuato,592953,1239,2.089541667,146,0.246225249,856,1.443622007,201,0.338981336,7,0.01180532,7,0.01180532,22,0.037102435,0,0,0,0
18,11,018,11018,Jaral del Progreso,38782,88,2.26909391,40,1.031406323,48,1.237687587,0,0,0,0,0,0,0,0,0,0,0,0
19,11,019,11019,Jerécuaro,49517,103,2.080093705,55,1.110729648,48,0.969364057,0,0,0,0,0,0,0,0,0,0,0,0
20,11,020,11020,León,1721215,6205,3.605011576,721,0.418890144,3156,1.833588483,2288,1.329293551,0,0,22,0.012781669,18,0.010457729,0,0,0,0
21,11,021,11021,Moroleón,47261,140,2.962273333,36,0.761727429,104,2.200545905,0,0,0,0,0,0,0,0,0,0,0,0
22,11,022,11022,Ocampo,26383,41,1.554031005,41,1.554031005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,11,023,11023,Pénjamo,154960,330,2.129581828,160,1.032524522,170,1.097057305,0,0,0,0,0,0,0,0,0,0,0,0
24,11,024,11024,Pueblo Nuevo,12403,9,0.725630896,4,0.32250262,5,0.403128275,0,0,0,0,0,0,0,0,0,0,0,0
25,11,025,11025,Purísima del Rincón,83842,142,1.693661888,55,0.655995802,87,1.037666086,0,0,0,0,0,0,0,0,0,0,0,0
