id,CVE_ENT,CVE_MUN,MAPA,municipio,población,enfermeras_total,tasa_total,enfermeras_primer,tasa_primer,enfermeras_segundo,tasa_segundo,enfermeras_tercer,tasa_tercer,enfermeras_apoyo,tasa_apoyo,enfermeras_escuelas,tasa_escuelas,enfermeras_administrativas,tasa_administrativas,enfermeras_no_aplica,tasa_no_aplica,enfermeras_no_asignado,tasa_no_asignado
1,12,001,12001,Acapulco de Juárez,779566,3249,4.167703568,718,0.921025288,2421,3.105574127,55,0.070552076,0,0,8,0.01026212,47,0.060289956,0,0,0,0
2,12,002,12002,Ahuacuotzingo,25205,38,1.507637374,38,1.507637374,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,003,12003,Ajuchitlán del Progreso,37655,54,1.4340725,54,1.4340725,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,12,004,12004,Alcozauca de Guerrero,21225,38,1.790341578,19,0.895170789,19,0.895170789,0,0,0,0,0,0,0,0,0,0,0,0
5,12,005,12005,Alpoyeca,7813,4,0.511967234,4,0.511967234,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,12,006,12006,Apaxtla,11112,9,0.809935205,9,0.809935205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,12,007,12007,Arcelia,33267,48,1.442871314,19,0.571136562,29,0.871734752,0,0,0,0,0,0,0,0,0,0,0,0
8,12,008,12008,Atenango del Río,9147,7,0.765278233,7,0.765278233,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,12,009,12009,Atlamajalcingo del Monte,5811,9,1.548786784,9,1.548786784,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,12,010,12010,Atlixtac,28491,26,0.912568881,26,0.912568881,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,12,011,12011,Atoyac de Álvarez,60680,117,1.92814766,32,0.527356625,85,1.400791035,0,0,0,0,0,0,0,0,0,0,0,0
12,12,012,12012,Ayutla de los Libres,57980,128,2.207657813,54,0.93135564,74,1.276302173,0,0,0,0,0,0,0,0,0,0,0,0
13,12,013,12013,Azoyú,15099,28,1.854427446,28,1.854427446,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,12,014,12014,Benito Juárez,15442,13,0.841859863,13,0.841859863,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,12,015,12015,Buenavista de Cuéllar,12982,3,0.2310892,3,0.2310892,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,12,016,12016,Coahuayutla de José María Izazaga,12408,25,2.014829142,11,0.886524823,14,1.12830432,0,0,0,0,0,0,0,0,0,0,0,0
17,12,017,12017,Cocula,15579,11,0.706078696,11,0.706078696,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,12,018,12018,Copala,14463,38,2.62739404,7,0.483993639,31,2.143400401,0,0,0,0,0,0,0,0,0,0,0,0
19,12,019,12019,Copalillo,15598,7,0.448775484,7,0.448775484,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,12,020,12020,Copanatoyac,21648,30,1.385809313,30,1.385809313,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,12,021,12021,Coyuca de Benítez,73056,102,1.396189225,43,0.588589575,59,0.80759965,0,0,0,0,0,0,0,0,0,0,0,0
22,12,022,12022,Coyuca de Catalán,38554,203,5.265342118,52,1.348757587,151,3.916584531,0,0,0,0,0,0,0,0,0,0,0,0
23,12,023,12023,Cuajinicuilapa,19616,47,2.396003263,12,0.611745514,35,1.784257749,0,0,0,0,0,0,0,0,0,0,0,0
24,12,024,12024,Cualác,7874,16,2.032004064,16,2.032004064,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,12,025,12025,Cuautepec,17024,22,1.292293233,22,1.292293233,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,12,026,12026,Cuetzala del Progreso,8272,5,0.604448743,5,0.604448743,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,12,027,12027,Cutzamala de Pinzón,20537,32,1.558163315,32,1.558163315,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,12,028,12028,Chilapa de Álvarez,123722,516,4.17064063,122,0.986081699,383,3.095649925,0,0,0,0,5,0.040413184,0,0,6,0.048495821,0,0
29,12,029,12029,Chilpancingo de los Bravo,283354,1000,3.529154344,391,1.379899349,469,1.655173387,0,0,1,0.003529154,3,0.010587463,134,0.472906682,2,0.007058309,0,0
30,12,030,12030,Florencio Villarreal,22250,24,1.078651685,24,1.078651685,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,12,031,12031,General Canuto A. Neri,6278,4,0.637145588,4,0.637145588,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,12,032,12032,General Heliodoro Castillo,37254,42,1.127395716,19,0.510012348,23,0.617383368,0,0,0,0,0,0,0,0,0,0,0,0
33,12,033,12033,Huamuxtitlán,17488,45,2.573193047,16,0.914913083,29,1.658279963,0,0,0,0,0,0,0,0,0,0,0,0
34,12,034,12034,Huitzuco de los Figueroa,36593,119,3.251988085,20,0.546552619,99,2.705435466,0,0,0,0,0,0,0,0,0,0,0,0
35,12,035,12035,Iguala de la Independencia,154173,560,3.632283214,16,0.10377952,532,3.450669054,0,0,0,0,0,0,12,0.07783464,0,0,0,0
36,12,036,12036,Igualapa,11739,32,2.725956214,32,2.725956214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,12,037,12037,Ixcateopan de Cuauhtémoc,6138,4,0.651678071,4,0.651678071,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,12,038,12038,Zihuatanejo de Azueta,126001,337,2.674581948,54,0.428568027,283,2.246013921,0,0,0,0,0,0,0,0,0,0,0,0
39,12,039,12039,Juan R. Escudero,26093,26,0.996435826,26,0.996435826,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,12,040,12040,Leonardo Bravo,26357,48,1.821148082,32,1.214098721,16,0.607049361,0,0,0,0,0,0,0,0,0,0,0,0
41,12,041,12041,Malinaltepec,22501,33,1.466601484,21,0.933291854,12,0.533309631,0,0,0,0,0,0,0,0,0,0,0,0
42,12,042,12042,Mártir de Cuilapan,18613,27,1.450599044,27,1.450599044,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,12,043,12043,Metlatónoc,18859,33,1.749827668,33,1.749827668,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,12,044,12044,Mochitlán,12402,25,2.015803903,25,2.015803903,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,12,045,12045,Olinalá,28446,35,1.230401462,20,0.70308655,15,0.527314912,0,0,0,0,0,0,0,0,0,0,0,0
46,12,046,12046,Ometepec,68207,383,5.615259431,142,2.081897752,175,2.565719061,0,0,0,0,3,0.043983755,63,0.923658862,0,0,0,0
47,12,047,12047,Pedro Ascencio Alquisiras,7076,8,1.13058225,8,1.13058225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,12,048,12048,Petatlán,44583,58,1.300944306,7,0.15701052,51,1.143933786,0,0,0,0,0,0,0,0,0,0,0,0
49,12,049,12049,Pilcaya,12753,7,0.548890457,7,0.548890457,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,12,050,12050,Pungarabato,38482,86,2.234811081,58,1.507198171,28,0.72761291,0,0,0,0,0,0,0,0,0,0,0,0
51,12,051,12051,Quechultenango,36143,63,1.743076114,24,0.664028996,39,1.079047118,0,0,0,0,0,0,0,0,0,0,0,0
