id,CVE_ENT,CVE_MUN,MAPA,municipio,población,enfermeras_total,tasa_total,enfermeras_primer,tasa_primer,enfermeras_segundo,tasa_segundo,enfermeras_tercer,tasa_tercer,enfermeras_apoyo,tasa_apoyo,enfermeras_escuelas,tasa_escuelas,enfermeras_administrativas,tasa_administrativas,enfermeras_no_aplica,tasa_no_aplica,enfermeras_no_asignado,tasa_no_asignado
1,13,001,13001,Acatlán,22268,20,0.898149811,20,0.898149811,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,13,002,13002,Acaxochitlán,46065,34,0.738087485,31,0.672962119,0,0,0,0,0,0,3,0.065125366,0,0,0,0,0,0
3,13,003,13003,Actopan,61002,179,2.934330022,62,1.016360119,111,1.819612472,0,0,0,0,0,0,6,0.098357431,0,0,0,0
4,13,004,13004,Agua Blanca de Iturbide,10313,16,1.55143993,16,1.55143993,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,13,005,13005,Ajacuba,18872,3,0.158965663,3,0.158965663,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,13,006,13006,Alfajayucan,19162,4,0.208746477,4,0.208746477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,13,007,13007,Almoloya,12546,8,0.637653435,8,0.637653435,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,13,008,13008,Apan,46681,116,2.484951051,33,0.70692573,80,1.713759345,0,0,0,0,0,0,3,0.064265975,0,0,0,0
9,13,009,13009,El Arenal,19836,16,0.806614237,16,0.806614237,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,13,010,13010,Atitalaquia,31525,8,0.253766852,8,0.253766852,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,13,011,13011,Atlapexco,19812,91,4.593175853,34,1.716131637,57,2.877044216,0,0,0,0,0,0,0,0,0,0,0,0
12,13,012,13012,Atotonilco el Grande,30135,25,0.829600133,21,0.696864111,0,0,0,0,4,0.132736021,0,0,0,0,0,0,0,0
