id,CVE_ENT,CVE_MUN,MAPA,municipio,población,enfermeras_total,tasa_total,enfermeras_primer,tasa_primer,enfermeras_segundo,tasa_segundo,enfermeras_tercer,tasa_tercer,enfermeras_apoyo,tasa_apoyo,enfermeras_escuelas,tasa_escuelas,enfermeras_administrativas,tasa_administrativas,enfermeras_no_aplica,tasa_no_aplica,enfermeras_no_asignado,tasa_no_asignado
1,14,001,14001,Acatic,23175,14,0.604099245,13,0.560949299,0,0,0,0,1,0.043149946,0,0,0,0,0,0,0,0
2,14,002,14002,Acatlán de Juárez,25250,11,0.435643564,11,0.435643564,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,14,003,14003,Ahualulco de Mercado,23630,13,0.550148117,12,0.507829031,0,0,0,0,1,0.042319086,0,0,0,0,0,0,0,0
4,14,004,14004,Amacueca,5743,12,2.089500261,12,2.089500261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,14,005,14005,Amatitán,16490,8,0.485142511,8,0.485142511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,14,006,14006,Ameca,60386,147,2.434339085,33,0.546484284,95,1.573212334,0,0,3,0.049680389,0,0,16,0.264962077,0,0,0,0
7,14,007,14007,San Juanito de Escobedo,9433,11,1.166118944,11,1.166118944,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,14,008,14008,Arandas,80609,40,0.496222506,38,0.471411381,0,0,0,0,2,0.024811125,0,0,0,0,0,0,0,0
9,14,009,14009,El Arenal,21115,11,0.520956666,11,0.520956666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,14,010,14010,Atemajac de Brizuela,7758,12,1.54679041,12,1.54679041,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,14,011,14011,Atengo,5599,3,0.535809966,3,0.535809966,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,14,012,14012,Atenguillo,4176,8,1.915708812,7,1.676245211,0,0,0,0,1,0.239463602,0,0,0,0,0,0,0,0
13,14,013,14013,Atotonilco el Alto,64009,91,1.421675077,38,0.593666516,51,0.796762955,0,0,2,0.031245606,0,0,0,0,0,0,0,0
14,14,014,14014,Atoyac,8689,21,2.416848889,20,2.301760847,0,0,0,0,1,0.115088042,0,0,0,0,0,0,0,0
15,14,015,14015,Autlán de Navarro,64931,264,4.065854522,45,0.693043385,207,3.187999569,0,0,2,0.030801928,0,0,10,0.154009641,0,0,0,0
16,14,016,14016,Ayotlán,41552,25,0.601655757,23,0.553523296,0,0,0,0,2,0.048132461,0,0,0,0,0,0,0,0
17,14,017,14017,Ayutla,12880,15,1.164596273,13,1.00931677,0,0,0,0,2,0.155279503,0,0,0,0,0,0,0,0
18,14,018,14018,La Barca,67937,244,3.591562771,45,0.66237838,181,2.664233039,0,0,3,0.044158559,0,0,15,0.220792793,0,0,0,0
19,14,019,14019,Bolaños,7043,18,2.555729093,15,2.129774244,0,0,0,0,3,0.425954849,0,0,0,0,0,0,0,0
20,14,020,14020,Cabo Corrientes,10940,11,1.005484461,10,0.914076782,0,0,0,0,1,0.091407678,0,0,0,0,0,0,0,0
21,14,021,14021,Casimiro Castillo,20548,38,1.849328402,15,0.729998053,23,1.119330348,0,0,0,0,0,0,0,0,0,0,0,0
22,14,022,14022,Cihuatlán,40139,76,1.893420364,24,0.59792222,51,1.270584718,0,0,1,0.024913426,0,0,0,0,0,0,0,0
23,14,023,14023,Zapotlán el Grande,115141,541,4.69858695,48,0.416880173,479,4.160116726,0,0,2,0.017370007,0,0,12,0.104220043,0,0,0,0
24,14,024,14024,Cocula,29267,105,3.587658455,17,0.580858988,87,2.972631291,0,0,1,0.034168176,0,0,0,0,0,0,0,0
25,14,025,14025,Colotlán,19689,130,6.602671542,7,0.355528468,111,5.637665702,0,0,1,0.050789781,0,0,11,0.558687592,0,0,0,0
26,14,026,14026,Concepción de Buenos Aires,6334,11,1.736659299,10,1.578781181,0,0,0,0,1,0.157878118,0,0,0,0,0,0,0,0
27,14,027,14027,Cuautitlán de García Barragán,18370,27,1.469787697,22,1.19760479,0,0,0,0,5,0.272182907,0,0,0,0,0,0,0,0
28,14,028,14028,Cuautla,2166,3,1.385041551,2,0.923361034,0,0,0,0,1,0.461680517,0,0,0,0,0,0,0,0
29,14,029,14029,Cuquío,17820,21,1.178451178,21,1.178451178,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,14,030,14030,Chapala,55196,14,0.253641568,14,0.253641568,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,14,031,14031,Chimaltitán,3270,8,2.44648318,7,2.140672783,0,0,0,0,1,0.305810398,0,0,0,0,0,0,0,0
32,14,032,14032,Chiquilistlán,5983,5,0.835701153,4,0.668560923,0,0,0,0,1,0.167140231,0,0,0,0,0,0,0,0
33,14,033,14033,Degollado,21226,16,0.753792519,14,0.659568454,0,0,0,0,2,0.094224065,0,0,0,0,0,0,0,0
34,14,034,14034,Ejutla,1981,3,1.514386673,2,1.009591116,0,0,0,0,1,0.504795558,0,0,0,0,0,0,0,0
35,14,035,14035,Encarnación de Díaz,53039,54,1.018118743,11,0.207394559,41,0.773016083,0,0,2,0.037708102,0,0,0,0,0,0,0,0
36,14,036,14036,Etzatlán,20011,12,0.599670181,12,0.599670181,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,14,037,14037,El Grullo,25920,68,2.62345679,17,0.655864198,50,1.929012346,0,0,1,0.038580247,0,0,0,0,0,0,0,0
38,14,038,14038,Guachinango,4199,5,1.190759705,3,0.714455823,0,0,0,0,2,0.476303882,0,0,0,0,0,0,0,0
39,14,039,14039,Guadalajara,1385629,11167,8.059155806,1021,0.736849474,6113,4.411714824,3993,2.881723751,0,0,17,0.012268796,23,0.01659896,0,0,0,0
40,14,040,14040,Hostotipaquillo,8732,10,1.14521301,8,0.916170408,0,0,0,0,2,0.229042602,0,0,0,0,0,0,0,0
41,14,041,14041,Huejúcar,5920,12,2.027027027,11,1.858108108,0,0,0,0,1,0.168918919,0,0,0,0,0,0,0,0
42,14,042,14042,Huejuquilla el Alto,10015,58,5.79131303,6,0.599101348,51,5.092361458,0,0,1,0.099850225,0,0,0,0,0,0,0,0
43,14,043,14043,La Huerta,23258,48,2.063806002,11,0.472955542,36,1.547854502,0,0,1,0.042995958,0,0,0,0,0,0,0,0
44,14,044,14044,Ixtlahuacán de los Membrillos,67969,39,0.573790993,39,0.573790993,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,14,045,14045,Ixtlahuacán del Río,20465,22,1.075006108,22,1.075006108,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,14,046,14046,Jalostotitlán,32678,18,0.550829304,17,0.520227676,0,0,0,0,1,0.030601628,0,0,0,0,0,0,0,0
47,14,047,14047,Jamay,24894,19,0.763236121,19,0.763236121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,14,048,14048,Jesús María,18982,13,0.68485934,12,0.632177853,0,0,0,0,1,0.052681488,0,0,0,0,0,0,0,0
49,14,049,14049,Jilotlán de los Dolores,9425,13,1.379310345,11,1.167108753,0,0,0,0,2,0.212201592,0,0,0,0,0,0,0,0
50,14,050,14050,Jocotepec,47105,72,1.528500159,15,0.318437533,57,1.210062626,0,0,0,0,0,0,0,0,0,0,0,0
51,14,051,14051,Juanacatlán,30855,9,0.291686923,9,0.291686923,0,0,0,0,0,0,0,0,0,0,0,0,0,0
