id,CVE_ENT,CVE_MUN,MAPA,municipio,población,enfermeras_total,tasa_total,enfermeras_primer,tasa_primer,enfermeras_segundo,tasa_segundo,enfermeras_tercer,tasa_tercer,enfermeras_apoyo,tasa_apoyo,enfermeras_escuelas,tasa_escuelas,enfermeras_administrativas,tasa_administrativas,enfermeras_no_aplica,tasa_no_aplica,enfermeras_no_asignado,tasa_no_asignado
1,16,001,16001,Acuitzio,11301,8,0.707901956,8,0.707901956,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16,002,16002,Aguililla,14754,16,1.084451674,16,1.084451674,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,16,003,16003,Álvaro Obregón,23000,16,0.695652174,16,0.695652174,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,16,004,16004,Angamacutiro,14943,13,0.869972562,12,0.803051596,0,0,0,0,1,0.066920966,0,0,0,0,0,0,0,0
5,16,005,16005,Angangueo,10892,10,0.918105031,10,0.918105031,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,16,006,16006,Apatzingán,126191,296,2.345650641,33,0.261508348,254,2.012821834,0,0,0,0,0,0,9,0.071320459,0,0,0,0
7,16,007,16007,Aporo,3529,6,1.700198356,6,1.700198356,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,16,008,16008,Aquila,24676,46,1.864159507,25,1.013130167,21,0.85102934,0,0,0,0,0,0,0,0,0,0,0,0
9,16,009,16009,Ario,36268,92,2.536671446,19,0.523877799,73,2.012793647,0,0,0,0,0,0,0,0,0,0,0,0
10,16,010,16010,Arteaga,20332,37,1.819791462,16,0.786936848,20,0.98367106,0,0,1,0.049183553,0,0,0,0,0,0,0,0
11,16,011,16011,Briseñas,11681,8,0.68487287,8,0.68487287,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,16,012,16012,Buenavista,45538,90,1.976371382,24,0.527032369,66,1.449339014,0,0,0,0,0,0,0,0,0,0,0,0
13,16,013,16013,Carácuaro,9176,15,1.634699215,15,1.634699215,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,16,014,16014,Coahuayana,17022,24,1.409940078,7,0.411232523,17,0.998707555,0,0,0,0,0,0,0,0,0,0,0,0
15,16,015,16015,Coalcomán de Vázquez Pallares,19633,51,2.597667193,11,0.560281159,39,1.986451383,0,0,1,0.050934651,0,0,0,0,0,0,0,0
16,16,016,16016,Coeneo,20965,16,0.763176723,16,0.763176723,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,16,017,16017,Contepec,35070,18,0.513259196,18,0.513259196,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,16,018,16018,Copándaro,9484,6,0.632644454,6,0.632644454,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,16,019,16019,Cotija,20198,12,0.59411823,12,0.59411823,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,16,020,16020,Cuitzeo,29910,13,0.434637245,13,0.434637245,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,16,021,16021,Charapan,13539,12,0.886328385,12,0.886328385,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,16,022,16022,Charo,25138,865,34.41005649,13,0.517145358,851,33.85313072,0,0,1,0.039780412,0,0,0,0,0,0,0,0
23,16,023,16023,Chavinda,10417,8,0.767975425,8,0.767975425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,16,024,16024,Cherán,20586,85,4.129019722,4,0.19430681,81,3.934712912,0,0,0,0,0,0,0,0,0,0,0,0
25,16,025,16025,Chilchota,40560,34,0.8382643,34,0.8382643,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,16,026,16026,Chinicuila,4773,10,2.095118374,10,2.095118374,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,16,027,16027,Chucándiro,4944,7,1.415857605,7,1.415857605,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,16,028,16028,Churintzio,5233,6,1.146569845,6,1.146569845,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,16,029,16029,Churumuco,12342,13,1.053313888,13,1.053313888,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,16,030,16030,Ecuandureo,11850,6,0.506329114,6,0.506329114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,16,031,16031,Epitacio Huerta,16112,9,0.558589871,9,0.558589871,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,16,032,16032,Erongarícuaro,15715,10,0.636334712,10,0.636334712,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,16,033,16033,Gabriel Zamora,21466,17,0.791950061,16,0.745364763,0,0,0,0,1,0.046585298,0,0,0,0,0,0,0,0
34,16,034,16034,Hidalgo,125712,152,1.209112893,72,0.572737686,79,0.628420517,0,0,1,0.00795469,0,0,0,0,0,0,0,0
35,16,035,16035,La Huacana,30627,50,1.632546446,19,0.620367649,30,0.979527868,0,0,1,0.032650929,0,0,0,0,0,0,0,0
36,16,036,16036,Huandacareo,11644,5,0.429405703,5,0.429405703,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,16,037,16037,Huaniqueo,7945,9,1.132787917,9,1.132787917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,16,038,16038,Huetamo,41973,110,2.620732376,55,1.310366188,54,1.286541348,0,0,1,0.02382484,0,0,0,0,0,0,0,0
39,16,039,16039,Huiramba,9015,11,1.220188575,11,1.220188575,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,16,040,16040,Indaparapeo,18385,9,0.489529508,9,0.489529508,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,16,041,16041,Irimbo,16043,15,0.934987222,15,0.934987222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,16,042,16042,Ixtlán,14302,8,0.559362327,8,0.559362327,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,16,043,16043,Jacona,68781,22,0.319855774,22,0.319855774,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,16,044,16044,Jiménez,12946,13,1.004171173,13,1.004171173,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,16,045,16045,Jiquilpan,36158,32,0.885004702,31,0.857348305,0,0,0,0,1,0.027656397,0,0,0,0,0,0,0,0
46,16,046,16046,Juárez,14936,4,0.26780932,3,0.20085699,0,0,0,0,1,0.06695233,0,0,0,0,0,0,0,0
47,16,047,16047,Jungapeo,19834,18,0.90753252,18,0.90753252,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,16,048,16048,Lagunillas,5745,6,1.044386423,6,1.044386423,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,16,049,16049,Madero,19086,16,0.838310804,16,0.838310804,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,16,050,16050,Maravatío,89311,101,1.130879735,41,0.459069991,57,0.638219256,0,0,3,0.033590487,0,0,0,0,0,0,0,0
51,16,051,16051,Marcos Castellanos,13983,6,0.429092469,6,0.429092469,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,16,052,16052,Lázaro Cárdenas,196003,568,2.897914828,93,0.474482533,440,2.244863599,0,0,0,0,24,0.122447105,11,0.05612159,0,0,0,0
53,16,053,16053,Morelia,849053,2867,3.376703221,410,0.482890938,1054,1.241383047,1313,1.546428786,15,0.017666742,25,0.029444569,50,0.058889139,0,0,0,0
54,16,054,16054,Morelos,7983,6,0.751597144,4,0.501064763,0,0,0,0,2,0.250532381,0,0,0,0,0,0,0,0
55,16,055,16055,Múgica,45732,81,1.771188664,10,0.218665267,70,1.53065687,0,0,1,0.021866527,0,0,0,0,0,0,0,0
56,16,056,16056,Nahuatzen,32598,34,1.043008774,34,1.043008774,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,16,057,16057,Nocupétaro,8196,45,5.490483163,11,1.342118106,34,4.148365056,0,0,0,0,0,0,0,0,0,0,0,0
58,16,058,16058,Nuevo Parangaricutiro,20981,3,0.142986512,3,0.142986512,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,16,059,16059,Nuevo Urecho,9027,10,1.107787748,10,1.107787748,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,16,060,16060,Numarán,9437,7,0.741761153,7,0.741761153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,16,061,16061,Ocampo,24774,12,0.484378784,12,0.484378784,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,16,062,16062,Pajacuarán,21028,21,0.998668442,20,0.951112802,0,0,0,0,1,0.04755564,0,0,0,0,0,0,0,0
63,16,063,16063,Panindícuaro,14889,9,0.604473101,9,0.604473101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,16,064,16064,Parácuaro,26832,23,0.85718545,22,0.819916518,0,0,0,0,1,0.037268933,0,0,0,0,0,0,0,0
65,16,065,16065,Paracho,39657,97,2.445974229,21,0.529540812,75,1.891217187,0,0,0,0,1,0.025216229,0,0,0,0,0,0
66,16,066,16066,Pátzcuaro,98382,217,2.205688032,68,0.691183347,129,1.311215466,0,0,0,0,0,0,20,0.20328922,0,0,0,0
67,16,067,16067,Penjamillo,16621,16,0.962637627,16,0.962637627,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,16,068,16068,Peribán,29389,13,0.442342373,13,0.442342373,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,16,069,16069,La Piedad,106490,251,2.357028829,33,0.309888252,201,1.887501174,0,0,1,0.009390553,0,0,16,0.15024885,0,0,0,0
70,16,070,16070,Purépero,15503,14,0.903051022,13,0.838547378,0,0,0,0,1,0.064503644,0,0,0,0,0,0,0,0
71,16,071,16071,Puruándiro,69260,78,1.126191164,33,0.476465492,44,0.635287323,0,0,1,0.014438348,0,0,0,0,0,0,0,0
72,16,072,16072,Queréndaro,13961,10,0.716281069,10,0.716281069,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,16,073,16073,Quiroga,27176,9,0.331174566,9,0.331174566,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,16,074,16074,Cojumatlán de Régules,10553,5,0.47379892,5,0.47379892,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,16,075,16075,Los Reyes,78935,170,2.153670742,31,0.392728194,139,1.760942548,0,0,0,0,0,0,0,0,0,0,0,0
76,16,076,16076,Sahuayo,78477,143,1.822189941,17,0.216623979,116,1.478140092,0,0,0,0,10,0.12742587,0,0,0,0,0,0
77,16,077,16077,San Lucas,17677,20,1.131413701,20,1.131413701,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,16,078,16078,Santa Ana Maya,12812,13,1.014673743,13,1.014673743,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,16,079,16079,Salvador Escalante,49896,21,0.420875421,21,0.420875421,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,16,080,16080,Senguio,19833,15,0.756315232,15,0.756315232,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,16,081,16081,Susupuato,9076,6,0.661084178,6,0.661084178,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,16,082,16082,Tacámbaro,79540,119,1.49610259,35,0.440030173,84,1.056072416,0,0,0,0,0,0,0,0,0,0,0,0
83,16,083,16083,Tancítaro,33453,16,0.478282964,16,0.478282964,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,16,084,16084,Tangamandapio,31716,21,0.662126372,21,0.662126372,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,16,085,16085,Tangancícuaro,35256,17,0.482187429,17,0.482187429,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,16,086,16086,Tanhuato,15534,14,0.901248873,13,0.836873954,0,0,0,0,1,0.06437492,0,0,0,0,0,0,0,0
87,16,087,16087,Taretan,15589,17,1.090512541,17,1.090512541,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,16,088,16088,Tarímbaro,114513,39,0.340572686,38,0.331840053,0,0,0,0,1,0.008732633,0,0,0,0,0,0,0,0
89,16,089,16089,Tepalcatepec,24074,17,0.706156019,17,0.706156019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,16,090,16090,Tingambato,16325,12,0.735068913,12,0.735068913,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,16,091,16091,Tingüindín,14934,11,0.73657426,11,0.73657426,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,16,092,16092,Tiquicheo de Nicolás Romero,12836,14,1.090682456,13,1.012776566,0,0,0,0,1,0.07790589,0,0,0,0,0,0,0,0
93,16,093,16093,Tlalpujahua,28556,23,0.805434935,23,0.805434935,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,16,094,16094,Tlazazalca,6420,9,1.401869159,9,1.401869159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,16,095,16095,Tocumbo,12325,6,0.486815416,6,0.486815416,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,16,096,16096,Tumbiscatío,5971,6,1.004856808,6,1.004856808,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,16,097,16097,Turicato,29056,31,1.066905286,31,1.066905286,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,16,098,16098,Tuxpan,25757,97,3.765966533,14,0.543541562,83,3.222424972,0,0,0,0,0,0,0,0,0,0,0,0
99,16,099,16099,Tuzantla,14329,48,3.349849955,17,1.186405192,31,2.163444762,0,0,0,0,0,0,0,0,0,0,0,0
100,16,100,16100,Tzintzuntzan,14911,14,0.938904165,14,0.938904165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,16,101,16101,Tzitzio,8855,15,1.693958216,14,1.581027668,0,0,0,0,1,0.112930548,0,0,0,0,0,0,0,0
102,16,102,16102,Uruapan,356786,703,1.970368792,156,0.437236887,530,1.485484296,0,0,0,0,0,0,17,0.047647609,0,0,0,0
103,16,103,16103,Venustiano Carranza,23469,17,0.724359794,17,0.724359794,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,16,104,16104,Villamar,15864,88,5.547150782,19,1.197680282,68,4.286434695,0,0,1,0.063035804,0,0,0,0,0,0,0,0
105,16,105,16105,Vista Hermosa,20982,23,1.096177676,23,1.096177676,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,16,106,16106,Yurécuaro,32303,20,0.619137541,19,0.588180664,0,0,0,0,1,0.030956877,0,0,0,0,0,0,0,0
107,16,107,16107,Zacapu,76829,242,3.149852269,22,0.286350206,208,2.707311041,0,0,0,0,12,0.156191022,0,0,0,0,0,0
108,16,108,16108,Zamora,204860,572,2.792150737,76,0.370985063,476,2.323538026,0,0,1,0.004881382,0,0,19,0.092746266,0,0,0,0
109,16,109,16109,Zináparo,3232,3,0.928217822,3,0.928217822,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,16,110,16110,Zinapécuaro,49005,26,0.530558106,26,0.530558106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,16,111,16111,Ziracuaretiro,18402,10,0.543419194,10,0.543419194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,16,112,16112,Zitácuaro,157056,280,1.782803586,85,0.541208231,152,0.967807661,0,0,0,0,18,0.114608802,25,0.159178892,0,0,0,0
113,16,113,16113,José Sixto Verduzco,26213,9,0.34334109,9,0.34334109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8888,8888,8888,8888,No disponible ,0,131,0,19,0,0,0,0,0,0,0,108,0,0,0,0,0,4,0
9999,9999,9999,9999,Total Michoacán de Ocampo,4748846,9916,2.088086242,2615,0.550660097,5576,1.174180001,1313,0.276488225,43,0.009054831,198,0.04169434,167,0.035166438,0,0,4,0.00084231
