id,CVE_ENT,CVE_MUN,MAPA,municipio,población,enfermeras_total,tasa_total,enfermeras_primer,tasa_primer,enfermeras_segundo,tasa_segundo,enfermeras_tercer,tasa_tercer,enfermeras_apoyo,tasa_apoyo,enfermeras_escuelas,tasa_escuelas,enfermeras_administrativas,tasa_administrativas,enfermeras_no_aplica,tasa_no_aplica,enfermeras_no_asignado,tasa_no_asignado
1,17,001,17001,Amacuzac,17598,18,1.022843505,18,1.022843505,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,17,002,17002,Atlatlahucan,25232,10,0.396322131,10,0.396322131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,17,003,17003,Axochiapan,39174,122,3.114310512,13,0.331852759,109,2.782457753,0,0,0,0,0,0,0,0,0,0,0,0
4,17,004,17004,Ayala,89834,56,0.623371997,53,0.589977069,3,0.033394928,0,0,0,0,0,0,0,0,0,0,0,0
5,17,005,17005,Coatlán del Río,10520,18,1.711026616,18,1.711026616,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,17,006,17006,Cuautla,187118,861,4.601374534,62,0.33134172,711,3.79974134,0,0,0,0,8,0.04275377,80,0.427537703,0,0,0,0
7,17,007,17007,Cuernavaca,378476,1727,4.563037022,198,0.523150741,1376,3.635633435,0,0,8,0.021137404,29,0.076623088,103,0.272144073,13,0.034348281,0,0
8,17,008,17008,Emiliano Zapata,107053,500,4.67058373,42,0.392329033,0,0,458,4.278254696,0,0,0,0,0,0,0,0,0,0
9,17,009,17009,Huitzilac,24515,15,0.611870283,15,0.611870283,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,17,010,17010,Jantetelco,18402,19,1.032496468,19,1.032496468,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,17,011,17011,Jiutepec,215357,84,0.39005001,77,0.357545842,0,0,0,0,0,0,5,0.023217262,2,0.009286905,0,0,0,0
12,17,012,17012,Jojutla,57682,372,6.449152249,94,1.629624493,222,3.848687632,0,0,0,0,0,0,56,0.970840123,0,0,0,0
13,17,013,17013,Jonacatepec de Leandro Valle,16694,53,3.174793339,15,0.898526417,38,2.276266922,0,0,0,0,0,0,0,0,0,0,0,0
14,17,014,17014,Mazatepec,9653,6,0.621568424,6,0.621568424,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,17,015,17015,Miacatlán,15802,14,0.885963802,14,0.885963802,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,17,016,17016,Ocuituco,19219,43,2.23736927,9,0.468286591,34,1.769082679,0,0,0,0,0,0,0,0,0,0,0,0
17,17,017,17017,Puente de Ixtla,40018,76,1.899145385,18,0.449797591,58,1.449347793,0,0,0,0,0,0,0,0,0,0,0,0
18,17,018,17018,Temixco,122263,141,1.153251597,53,0.433491735,88,0.719759862,0,0,0,0,0,0,0,0,0,0,0,0
19,17,019,17019,Tepalcingo,28122,29,1.031221108,29,1.031221108,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,17,020,17020,Tepoztlán,54987,39,0.709258552,39,0.709258552,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,17,021,17021,Tetecala,7617,103,13.52238414,12,1.575423395,91,11.94696075,0,0,0,0,0,0,0,0,0,0,0,0
22,17,022,17022,Tetela del Volcán,14853,20,1.346529321,20,1.346529321,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,17,023,17023,Tlalnepantla,7943,3,0.377691049,3,0.377691049,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,17,024,17024,Tlaltizapán de Zapata,52399,45,0.858795015,45,0.858795015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,17,025,17025,Tlaquiltenango,33789,39,1.154221788,39,1.154221788,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,17,026,17026,Tlayacapan,19408,24,1.236603462,24,1.236603462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,17,027,17027,Totolapan,12750,8,0.62745098,8,0.62745098,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,17,028,17028,Xochitepec,73539,30,0.407946804,30,0.407946804,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,17,029,17029,Yautepec,105780,184,1.739459255,58,0.548307809,0,0,126,1.191151446,0,0,0,0,0,0,0,0,0,0
30,17,030,17030,Yecapixtla,56083,23,0.410106449,23,0.410106449,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,17,031,17031,Zacatepec,36094,237,6.566188286,13,0.360170665,224,6.206017621,0,0,0,0,0,0,0,0,0,0,0,0
32,17,032,17032,Zacualpan de Amilpas,9965,4,0.401404917,4,0.401404917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,17,033,17033,Temoac,16574,9,0.543019187,9,0.543019187,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,17,034,17034,Coatetelco,11347,5,0.440645104,5,0.440645104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,17,035,17035,Xoxocotla,27805,25,0.899118864,25,0.899118864,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,17,036,17036,Hueyapan,7855,1,0.127307447,1,0.127307447,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8888,8888,8888,8888,No Disponible,0,147,0,7,0,9,0,9,0,0,0,118,0,0,0,0,0,4,0
9999,9999,9999,9999,Total Morelos,1971520,5110,2.591908781,1128,0.572147379,2963,1.502901315,593,0.300783152,8,0.004057783,160,0.081155657,241,0.122240708,13,0.006593897,4,0.002028891
