id,CVE_ENT,CVE_MUN,MAPA,municipio,población,enfermeras_total,tasa_total,enfermeras_primer,tasa_primer,enfermeras_segundo,tasa_segundo,enfermeras_tercer,tasa_tercer,enfermeras_apoyo,tasa_apoyo,enfermeras_escuelas,tasa_escuelas,enfermeras_administrativas,tasa_administrativas,enfermeras_no_aplica,tasa_no_aplica,enfermeras_no_asignado,tasa_no_asignado
1,18,001,18001,Acaponeta,37232,143,3.840782123,34,0.913192952,102,2.739578857,0,0,0,0,0,0,7,0.188010314,0,0,0,0
2,18,002,18002,Ahuacatlán,15393,26,1.689079452,26,1.689079452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,18,003,18003,Amatlán de Cañas,11536,27,2.340499307,25,2.167128988,0,0,0,0,0,0,0,0,2,0.173370319,0,0,0,0
4,18,004,18004,Compostela,77436,158,2.040394648,50,0.645694509,101,1.304302908,0,0,6,0.077483341,0,0,1,0.01291389,0,0,0,0
5,18,005,18005,Huajicori,12230,20,1.635322976,15,1.226492232,0,0,0,0,0,0,0,0,5,0.408830744,0,0,0,0
6,18,006,18006,Ixtlán del Río,29299,92,3.140038909,12,0.409570293,80,2.730468617,0,0,0,0,0,0,0,0,0,0,0,0
7,18,007,18007,Jala,19321,16,0.828114487,16,0.828114487,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,18,008,18008,Xalisco,65229,52,0.797191433,52,0.797191433,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,18,009,18009,Del Nayar,47550,79,1.661409043,43,0.904311251,36,0.757097792,0,0,0,0,0,0,0,0,0,0,0,0
10,18,010,18010,Rosamorada,33567,154,4.587839247,33,0.98310841,121,3.604730837,0,0,0,0,0,0,0,0,0,0,0,0
11,18,011,18011,Ruíz,24096,22,0.913014608,22,0.913014608,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,18,012,18012,San Blas,41518,54,1.300640686,51,1.22838287,0,0,0,0,0,0,0,0,3,0.072257816,0,0,0,0
13,18,013,18013,San Pedro Lagunillas,7683,16,2.082519849,16,2.082519849,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,18,014,18014,Santa María del Oro,24911,19,0.762715266,19,0.762715266,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,18,015,18015,Santiago Ixcuintla,93981,288,3.064449197,55,0.585224673,230,2.447303178,0,0,0,0,0,0,3,0.031921346,0,0,0,0
16,18,016,18016,Tecuala,37135,74,1.992729231,34,0.915578295,0,0,0,0,40,1.077150936,0,0,0,0,0,0,0,0
17,18,017,18017,Tepic,425924,2262,5.310806623,330,0.774786112,1899,4.458541899,0,0,0,0,0,0,33,0.077478611,0,0,0,0
18,18,018,18018,Tuxpan,30064,103,3.426024481,11,0.36588611,91,3.026875998,0,0,0,0,0,0,1,0.033262374,0,0,0,0
19,18,019,18019,La Yesca,13719,64,4.665063051,23,1.676507034,41,2.988556017,0,0,0,0,0,0,0,0,0,0,0,0
20,18,020,18020,Bahía de Banderas,187632,658,3.506864501,106,0.564935619,551,2.936599301,0,0,0,0,0,0,1,0.005329581,0,0,0,0
8888,8888,8888,8888,No Disponible,0,46,0,10,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
9999,9999,9999,9999,Total Nayarit,1235456,4373,3.539583765,983,0.795657636,3252,2.632226482,0,0,46,0.037233216,36,0.029139039,56,0.045327393,0,0,0,0
