id,CVE_ENT,CVE_MUN,MAPA,municipio,población,enfermeras_total,tasa_total,enfermeras_primer,tasa_primer,enfermeras_segundo,tasa_segundo,enfermeras_tercer,tasa_tercer,enfermeras_apoyo,tasa_apoyo,enfermeras_escuelas,tasa_escuelas,enfermeras_administrativas,tasa_administrativas,enfermeras_no_aplica,tasa_no_aplica,enfermeras_no_asignado,tasa_no_asignado
1,19,001,19001,Abasolo,2974,1,0.336247478,1,0.336247478,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,19,002,19002,Agualeguas,3382,2,0.591366056,2,0.591366056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,19,003,19003,Los Aldamas,1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,19,004,19004,Allende,35289,29,0.821785826,29,0.821785826,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,19,005,19005,Anáhuac,18030,20,1.109262341,20,1.109262341,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,19,006,19006,Apodaca,656464,637,0.97035024,147,0.223926978,488,0.743376636,0,0,2,0.003046626,0,0,0,0,0,0,0,0
7,19,007,19007,Aramberri,14992,16,1.067235859,15,1.000533618,0,0,0,0,1,0.066702241,0,0,0,0,0,0,0,0
8,19,008,19008,Bustamante,3661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,19,009,19009,Cadereyta Jiménez,122337,135,1.103509159,57,0.465926089,57,0.465926089,0,0,0,0,0,0,21,0.17165698,0,0,0,0
10,19,010,19010,El Carmen,104478,13,0.124428109,13,0.124428109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,19,011,19011,Cerralvo,7340,55,7.493188011,5,0.68119891,50,6.811989101,0,0,0,0,0,0,0,0,0,0,0,0
12,19,012,19012,Ciénega de Flores,68747,13,0.189099161,13,0.189099161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,19,013,19013,China,9930,7,0.704934542,7,0.704934542,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,19,014,19014,Doctor Arroyo,36088,130,3.602305476,41,1.136111727,76,2.105963201,0,0,3,0.083130126,0,0,10,0.277100421,0,0,0,0
15,19,015,19015,Doctor Coss,1360,1,0.735294118,1,0.735294118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,19,016,19016,Doctor González,3256,1,0.307125307,1,0.307125307,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,19,017,19017,Galeana,40903,116,2.835977801,28,0.684546366,86,2.102535266,0,0,2,0.048896169,0,0,0,0,0,0,0,0
18,19,018,19018,García,397205,41,0.103221259,41,0.103221259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,019,19019,San Pedro Garza García,132169,131,0.991155263,131,0.991155263,0,0,0,0,0,0,0,0,0,0,0,0,0,0
