id,CVE_ENT,CVE_MUN,MAPA,municipio,población,enfermeras_total,tasa_total,enfermeras_primer,tasa_primer,enfermeras_segundo,tasa_segundo,enfermeras_tercer,tasa_tercer,enfermeras_apoyo,tasa_apoyo,enfermeras_escuelas,tasa_escuelas,enfermeras_administrativas,tasa_administrativas,enfermeras_no_aplica,tasa_no_aplica,enfermeras_no_asignado,tasa_no_asignado
1,20,001,20001,Abejones,841,1,1.189060642,1,1.189060642,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20,002,20002,Acatlán de Pérez Figueroa,45167,46,1.018442668,45,0.99630261,0,0,0,0,1,0.022140058,0,0,0,0,0,0,0,0
3,20,003,20003,Asunción Cacalotepec,2547,5,1.963093836,4,1.570475069,0,0,0,0,1,0.392618767,0,0,0,0,0,0,0,0
4,20,004,20004,Asunción Cuyotepeji,1107,2,1.806684734,2,1.806684734,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,20,005,20005,Asunción Ixtaltepec,15261,16,1.048424088,16,1.048424088,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,20,006,20006,Asunción Nochixtlán,20464,77,3.762705238,30,1.465989054,47,2.296716185,0,0,0,0,0,0,0,0,0,0,0,0
7,20,007,20007,Asunción Ocotlán,2395,2,0.835073069,2,0.835073069,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,20,008,20008,Asunción Tlacolulita,734,1,1.36239782,1,1.36239782,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,20,009,20009,Ayotzintepec,6857,5,0.729181858,3,0.437509115,0,0,0,0,2,0.291672743,0,0,0,0,0,0,0,0
10,20,010,20010,El Barrio de la Soledad,13474,7,0.519519074,7,0.519519074,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,20,011,20011,Calihualá,1402,3,2.139800285,3,2.139800285,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,20,012,20012,Candelaria Loxicha,11166,6,0.537345513,6,0.537345513,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,20,013,20013,Ciénega de Zimatlán,3043,4,1.314492277,4,1.314492277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,20,014,20014,Ciudad Ixtepec,28082,95,3.382949932,32,1.139519977,63,2.243429955,0,0,0,0,0,0,0,0,0,0,0,0
15,20,015,20015,Coatecas Altas,5356,3,0.560119492,3,0.560119492,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,20,016,20016,Coicoyán de las Flores,9563,8,0.836557566,7,0.73198787,0,0,0,0,1,0.104569696,0,0,0,0,0,0,0,0
17,20,017,20017,La Compañía,3607,3,0.831716108,3,0.831716108,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,20,018,20018,Concepción Buenavista,752,1,1.329787234,1,1.329787234,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20,019,20019,Concepción Pápalo,2754,4,1.452432825,4,1.452432825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,020,20020,Constancia del Rosario,4847,6,1.2378791,6,1.2378791,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,20,021,20021,Cosolapa,14488,65,4.486471563,18,1.24240751,47,3.244064053,0,0,0,0,0,0,0,0,0,0,0,0
22,20,022,20022,Cosoltepec,803,2,2.490660025,2,2.490660025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,20,023,20023,Cuilápam de Guerrero,26882,12,0.446395357,12,0.446395357,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,20,024,20024,Cuyamecalco Villa de Zaragoza,3644,5,1.372118551,5,1.372118551,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,20,025,20025,Chahuites,11356,7,0.61641423,7,0.61641423,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,20,026,20026,Chalcatongo de Hidalgo,9035,38,4.205866076,5,0.553403431,33,3.652462645,0,0,0,0,0,0,0,0,0,0,0,0
27,20,027,20027,Chiquihuitlán de Benito Juárez,2179,2,0.917852226,2,0.917852226,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,20,028,20028,Heroica Ciudad de Ejutla de Crespo,23148,9,0.388802488,9,0.388802488,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,20,029,20029,Eloxochitlán de Flores Magón,4215,4,0.948991696,4,0.948991696,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,20,030,20030,El Espinal,8730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,20,031,20031,Tamazulápam del Espíritu Santo,7185,53,7.376478775,3,0.417536534,45,6.263048017,0,0,5,0.695894224,0,0,0,0,0,0,0,0
32,20,032,20032,Fresnillo de Trujano,1077,2,1.857010214,2,1.857010214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
