id,CVE_ENT,CVE_MUN,MAPA,municipio,población,enfermeras_total,tasa_total,enfermeras_primer,tasa_primer,enfermeras_segundo,tasa_segundo,enfermeras_tercer,tasa_tercer,enfermeras_apoyo,tasa_apoyo,enfermeras_escuelas,tasa_escuelas,enfermeras_administrativas,tasa_administrativas,enfermeras_no_aplica,tasa_no_aplica,enfermeras_no_asignado,tasa_no_asignado
1,22,001,22001,Amealco de Bonfil,66841,64,0.957496148,61,0.912613516,0,0,0,0,3,0.044882632,0,0,0,0,0,0,0,0
2,22,002,22002,Pinal de Amoles,27365,27,0.986661794,22,0.803946647,0,0,0,0,5,0.182715147,0,0,0,0,0,0,0,0
3,22,003,22003,Arroyo Seco,13142,18,1.369654543,17,1.293562624,0,0,0,0,1,0.076091919,0,0,0,0,0,0,0,0
4,22,004,22004,Cadereyta de Montes,69075,237,3.431053203,40,0.579080709,181,2.62034021,0,0,4,0.057908071,0,0,12,0.173724213,0,0,0,0
5,22,005,22005,Colón,67121,24,0.357563207,23,0.34266474,0,0,0,0,1,0.014898467,0,0,0,0,0,0,0,0
6,22,006,22006,Corregidora,212567,68,0.319899138,68,0.319899138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,22,007,22007,Ezequiel Montes,45141,27,0.598125872,27,0.598125872,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,22,008,22008,Huimilpan,36808,33,0.89654423,33,0.89654423,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,22,009,22009,Jalpan de Serra,27343,135,4.93727828,23,0.841165929,110,4.022967487,0,0,2,0.073144863,0,0,0,0,0,0,0,0
10,22,010,22010,Landa de Matamoros,18794,21,1.117377887,19,1.010960945,0,0,0,0,2,0.106416942,0,0,0,0,0,0,0,0
11,22,011,22011,El Marqués,231668,897,3.871920162,77,0.332372188,820,3.539547974,0,0,0,0,0,0,0,0,0,0,0,0
12,22,012,22012,Pedro Escobedo,77404,51,0.658880678,51,0.658880678,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,22,013,22013,Peñamiller,19141,29,1.515072358,27,1.410584609,0,0,0,0,2,0.104487749,0,0,0,0,0,0,0,0
14,22,014,22014,Querétaro,1049777,3139,2.990158862,500,0.476291631,2531,2.410988238,0,0,3,0.00285775,43,0.04096108,62,0.059060162,0,0,0,0
15,22,015,22015,San Joaquín,8359,13,1.555209953,12,1.435578418,0,0,0,0,1,0.119631535,0,0,0,0,0,0,0,0
16,22,016,22016,San Juan del Río,297804,700,2.350539281,136,0.456676203,548,1.840136466,0,0,1,0.003357913,0,0,15,0.050368699,0,0,0,0
17,22,017,22017,Tequisquiapan,72201,36,0.498608053,35,0.484757829,0,0,0,0,1,0.013850224,0,0,0,0,0,0,0,0
18,22,018,22018,Tolimán,27916,31,1.11047428,30,1.074652529,0,0,0,0,1,0.035821751,0,0,0,0,0,0,0,0
8888,8888,8888,8888,No Disponible,0,12,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0
9999,9999,9999,9999,Total Querétaro,2368467,5562,2.348354442,1204,0.508345694,4190,1.769076791,0,0,27,0.011399779,48,0.020266274,89,0.037577049,0,0,4,0.001688856
