id,CVE_ENT,CVE_MUN,MAPA,municipio,población,enfermeras_total,tasa_total,enfermeras_primer,tasa_primer,enfermeras_segundo,tasa_segundo,enfermeras_tercer,tasa_tercer,enfermeras_apoyo,tasa_apoyo,enfermeras_escuelas,tasa_escuelas,enfermeras_administrativas,tasa_administrativas,enfermeras_no_aplica,tasa_no_aplica,enfermeras_no_asignado,tasa_no_asignado
1,23,001,23001,Cozumel,88626,203,2.290524225,40,0.451334823,163,1.839189403,0,0,0,0,0,0,0,0,0,0,0,0
2,23,002,23002,Felipe Carrillo Puerto,83990,197,2.345517323,81,0.964400524,83,0.988212882,0,0,0,0,0,0,33,0.392903917,0,0,0,0
3,23,003,23003,Isla Mujeres,22686,37,1.630961827,7,0.308560346,30,1.322401481,0,0,0,0,0,0,0,0,0,0,0,0
4,23,004,23004,Othón P. Blanco,233648,1170,5.007532699,181,0.774669588,703,3.008799562,168,0.719030336,1,0.004279942,58,0.248236664,59,0.252516606,0,0,0,0
5,23,005,23005,Benito Juárez,911503,1786,1.959401121,240,0.263301382,1493,1.637954017,0,0,0,0,17,0.018650515,36,0.039495207,0,0,0,0
6,23,006,23006,José María Morelos,39165,96,2.451168135,41,1.046853058,55,1.404315077,0,0,0,0,0,0,0,0,0,0,0,0
7,23,007,23007,Lázaro Cárdenas,29171,85,2.913852799,42,1.439786089,43,1.47406671,0,0,0,0,0,0,0,0,0,0,0,0
8,23,008,23008,Solidaridad,333800,628,1.881366087,66,0.197723188,562,1.6836429,0,0,0,0,0,0,0,0,0,0,0,0
9,23,009,23009,Tulum,46721,23,0.492283984,23,0.492283984,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,23,010,23010,Bacalar,41754,105,2.514729128,44,1.053791254,61,1.460937874,0,0,0,0,0,0,0,0,0,0,0,0
11,23,011,23011,Puerto Morelos,26921,20,0.742914453,20,0.742914453,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8888,8888,8888,8888,No Disponible,0,68,0,62,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0
9999,9999,9999,9999,Total Quintana Roo,1857985,4418,2.377844816,847,0.455870203,3193,1.718528406,168,0.090420536,1,0.000538217,79,0.042519181,128,0.068891837,0,0,2,0.001076435
