id,CVE_ENT,CVE_MUN,MAPA,municipio,población,enfermeras_total,tasa_total,enfermeras_primer,tasa_primer,enfermeras_segundo,tasa_segundo,enfermeras_tercer,tasa_tercer,enfermeras_apoyo,tasa_apoyo,enfermeras_escuelas,tasa_escuelas,enfermeras_administrativas,tasa_administrativas,enfermeras_no_aplica,tasa_no_aplica,enfermeras_no_asignado,tasa_no_asignado
1,24,001,24001,Ahualulco del Sonido 13,18974,11,0.579740698,11,0.579740698,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,24,002,24002,Alaquines,7785,7,0.899165061,7,0.899165061,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,24,003,24003,Aquismón,48359,53,1.095969726,22,0.45493083,31,0.641038897,0,0,0,0,0,0,0,0,0,0,0,0
4,24,004,24004,Armadillo de los Infante,4013,6,1.495140792,6,1.495140792,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,24,005,24005,Cárdenas,18317,9,0.491346836,9,0.491346836,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,24,006,24006,Catorce,9579,15,1.565925462,15,1.565925462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24,007,24007,Cedral,19840,12,0.60483871,12,0.60483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,24,008,24008,Cerritos,22075,79,3.578708947,12,0.543601359,67,3.035107588,0,0,0,0,0,0,0,0,0,0,0,0
9,24,009,24009,Cerro de San Pedro,5050,5,0.99009901,5,0.99009901,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,24,010,24010,Ciudad del Maíz,30320,27,0.890501319,13,0.428759894,14,0.461741425,0,0,0,0,0,0,0,0,0,0,0,0
11,24,011,24011,Ciudad Fernández,48106,23,0.478110839,23,0.478110839,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,24,012,24012,Tancanhuitz,20300,21,1.034482759,20,0.985221675,0,0,0,0,1,0.049261084,0,0,0,0,0,0,0,0
13,24,013,24013,Ciudad Valles,179371,945,5.268410167,102,0.568653796,843,4.699756371,0,0,0,0,0,0,0,0,0,0,0,0
14,24,014,24014,Coxcatlán,15660,15,0.957854406,15,0.957854406,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,24,015,24015,Charcas,21814,64,2.933895663,10,0.458421197,53,2.429632346,0,0,1,0.04584212,0,0,0,0,0,0,0,0
16,24,016,24016,Ebano,40899,51,1.246974254,17,0.415658085,34,0.831316169,0,0,0,0,0,0,0,0,0,0,0,0
17,24,017,24017,Guadalcázar,25119,19,0.756399538,19,0.756399538,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,24,018,24018,Huehuetlán,15334,7,0.456501891,7,0.456501891,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,24,019,24019,Lagunillas,5453,7,1.283697047,7,1.283697047,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,24,020,24020,Matehuala,102199,306,2.994158456,53,0.518596072,252,2.465777552,0,0,1,0.009784832,0,0,0,0,0,0,0,0
21,24,021,24021,Mexquitic de Carmona,58469,23,0.393370846,22,0.376267766,0,0,0,0,1,0.01710308,0,0,0,0,0,0,0,0
22,24,022,24022,Moctezuma,19036,11,0.57785249,11,0.57785249,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,24,023,24023,Rayón,15301,13,0.849617672,13,0.849617672,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,024,24024,Rioverde,97943,356,3.63476716,41,0.418610825,300,3.063006034,0,0,0,0,0,0,15,0.153150302,0,0,0,0
25,24,025,24025,Salinas,31107,30,0.964413155,10,0.321471052,20,0.642942103,0,0,0,0,0,0,0,0,0,0,0,0
26,24,026,24026,San Antonio,9382,10,1.065870816,10,1.065870816,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,24,027,24027,San Ciro de Acosta,10215,10,0.978952521,10,0.978952521,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,24,028,24028,San Luis Potosí,763743,3477,4.552578551,424,0.555160571,2043,2.674983601,868,1.136507961,3,0.003928023,97,0.127006074,21,0.02749616,21,0.02749616,0,0
29,24,029,24029,San Martín Chalchicuautla,18468,16,0.866363439,16,0.866363439,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,24,030,24030,San Nicolás Tolentino,4779,7,1.464741578,7,1.464741578,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,24,031,24031,Santa Catarina,12163,9,0.739949026,9,0.739949026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,24,032,24032,Santa María del Río,39880,25,0.626880642,25,0.626880642,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,24,033,24033,Santo Domingo,10785,10,0.927213723,10,0.927213723,0,0,0,0,0,0,0,0,0,0,0,0,0,0
