id,CVE_ENT,CVE_MUN,MAPA,municipio,población,enfermeras_total,tasa_total,enfermeras_primer,tasa_primer,enfermeras_segundo,tasa_segundo,enfermeras_tercer,tasa_tercer,enfermeras_apoyo,tasa_apoyo,enfermeras_escuelas,tasa_escuelas,enfermeras_administrativas,tasa_administrativas,enfermeras_no_aplica,tasa_no_aplica,enfermeras_no_asignado,tasa_no_asignado
1,25,001,25001,Ahome,440626,1407,3.193184242,155,0.351772251,1239,2.811908512,0,0,0,0,0,0,13,13,0,0,0,0
2,25,002,25002,Angostura,44093,82,1.859705622,47,1.065928832,35,0.79377679,0,0,0,0,0,0,0,0,0,0,0,0
3,25,003,25003,Badiraguato,26542,71,2.675005651,42,1.582397709,29,1.092607942,0,0,0,0,0,0,0,0,0,0,0,0
4,25,004,25004,Concordia,24899,58,2.32941082,23,0.923731877,35,1.405678943,0,0,0,0,0,0,0,0,0,0,0,0
5,25,005,25005,Cosalá,17012,41,2.410063485,18,1.058076652,23,1.351986833,0,0,0,0,0,0,0,0,0,0,0,0
6,25,006,25006,Culiacán,956902,4166,4.353632869,600,0.627023457,3128,3.268882289,366,0.382484309,1,0.001045039,0,0,31,31,40,40,0,0
7,25,007,25007,Choix,29334,76,2.590850208,44,1.49996591,32,1.090884298,0,0,0,0,0,0,0,0,0,0,0,0
8,25,008,25008,Elota,55339,97,1.752832541,39,0.704747104,58,1.048085437,0,0,0,0,0,0,0,0,0,0,0,0
9,25,009,25009,Escuinapa,59988,95,1.583650063,77,1.283590051,0,0,0,0,18,0.300060012,0,0,0,0,0,0,0,0
10,25,010,25010,El Fuerte,96593,142,1.470085824,82,0.8489228,60,0.621163024,0,0,0,0,0,0,0,0,0,0,0,0
11,25,011,25011,Guasave,274423,834,3.039103865,164,0.597617547,647,2.357674102,0,0,23,0.083812217,0,0,0,0,0,0,0,0
12,25,012,25012,Mazatlán,501441,1663,3.316442014,165,0.329051673,1474,2.939528279,0,0,22,0.043873556,0,0,0,0,2,2,0,0
13,25,013,25013,Mocorito,40668,75,1.844201829,38,0.934395594,37,0.909806236,0,0,0,0,0,0,0,0,0,0,0,0
14,25,014,25014,Rosario,52645,96,1.823534999,56,1.063728749,40,0.759806249,0,0,0,0,0,0,0,0,0,0,0,0
15,25,015,25015,Salvador Alvarado,79842,276,3.456827234,40,0.500989454,217,2.717867789,0,0,10,0.125247364,0,0,9,9,0,0,0,0
16,25,016,25016,San Ignacio,19784,58,2.931661949,29,1.465830975,29,1.465830975,0,0,0,0,0,0,0,0,0,0,0,0
17,25,017,25017,Sinaloa,73694,107,1.451949955,70,0.949873802,37,0.502076153,0,0,0,0,0,0,0,0,0,0,0,0
18,25,018,25018,Navolato,149122,268,1.797186197,85,0.570003085,183,1.227183112,0,0,0,0,0,0,0,0,0,0,0,0
19,25,019,25019,Eldorado,46628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,25,020,25020,Juan José Ríos,37368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8888,8888,8888,8888,No Disponible,0,163,0,3,0,0,0,0,0,0,0,156,156,0,0,0,0,4,4
9999,9999,9999,9999,Total Sinaloa,3026943,9775,3.229330714,1777,0.587060939,7303,2.412665187,366,0.120914071,74,0.024447107,156,156,53,53,42,42,4,4
