id,CVE_ENT,CVE_MUN,MAPA,municipio,población,enfermeras_total,tasa_total,enfermeras_primer,tasa_primer,enfermeras_segundo,tasa_segundo,enfermeras_tercer,tasa_tercer,enfermeras_apoyo,tasa_apoyo,enfermeras_escuelas,tasa_escuelas,enfermeras_administrativas,tasa_administrativas,enfermeras_no_aplica,tasa_no_aplica,enfermeras_no_asignado,tasa_no_asignado
1,26,001,26001,Aconchi,2563,1,0.390167772,1,0.390167772,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,26,002,26002,Agua Prieta,91929,170,1.849253228,2,0.02175592,168,1.827497308,0,0,0,0,0,0,0,0,0,0,0,0
3,26,003,26003,Álamos,24976,89,3.563420884,29,1.16111467,60,2.402306214,0,0,0,0,0,0,0,0,0,0,0,0
4,26,004,26004,Altar,9492,1,0.105351875,1,0.105351875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,26,005,26005,Arivechi,1177,1,0.849617672,1,0.849617672,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,26,006,26006,Arizpe,2788,2,0.717360115,2,0.717360115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,26,007,26007,Atil,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,26,008,26008,Bacadéhuachi,979,2,2.042900919,2,2.042900919,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,26,009,26009,Bacanora,759,1,1.317523057,1,1.317523057,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,26,010,26010,Bacerac,1221,1,0.819000819,1,0.819000819,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,26,011,26011,Bacoachi,1475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,26,012,26012,Bácum,23151,8,0.345557427,8,0.345557427,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,26,013,26013,Banámichi,1825,1,0.547945205,1,0.547945205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,26,014,26014,Baviácora,3191,1,0.313381385,1,0.313381385,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,26,015,26015,Bavispe,1169,1,0.855431993,1,0.855431993,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,26,016,26016,Benjamín Hill,4988,7,1.403368083,7,1.403368083,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,26,017,26017,Caborca,89122,234,2.625614326,35,0.392720092,134,1.503556922,0,0,48,0.538587554,0,0,0,0,0,0,0,0
18,26,018,26018,Cajeme,436484,2179,4.992164661,153,0.350528313,674,1.544157403,1315,3.012710661,0,0,21,0.048111729,0,0,0,0,0,0
19,26,019,26019,Cananea,39451,90,2.281310993,14,0.354870599,76,1.926440394,0,0,0,0,0,0,0,0,0,0,0,0
20,26,020,26020,Carbó,4946,3,0.606550748,3,0.606550748,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,26,021,26021,La Colorada,1848,2,1.082251082,2,1.082251082,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,26,022,26022,Cucurpe,863,1,1.158748552,1,1.158748552,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,26,023,26023,Cumpas,5829,12,2.058672156,12,2.058672156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,26,024,26024,Divisaderos,753,1,1.328021248,1,1.328021248,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,26,025,26025,Empalme,51431,135,2.624876048,42,0.816628104,86,1.67214326,0,0,0,0,7,0.136104684,0,0,0,0,0,0
26,26,026,26026,Etchojoa,61309,49,0.799230129,49,0.799230129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,26,027,26027,Fronteras,9041,3,0.331821701,3,0.331821701,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,26,028,26028,Granados,1009,1,0.991080278,1,0.991080278,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,26,029,26029,Guaymas,156863,500,3.18749482,65,0.414374327,435,2.773120494,0,0,0,0,0,0,0,0,0,0,0,0
30,26,030,26030,Hermosillo,936263,4156,4.438923678,561,0.599190612,2746,2.932936579,738,0.788240056,0,0,74,0.079037621,0,0,0,0,0,0
31,26,031,26031,Huachinera,1186,1,0.84317032,1,0.84317032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,26,032,26032,Huásabas,888,1,1.126126126,1,1.126126126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,26,033,26033,Huatabampo,77682,242,3.115264798,45,0.579284776,197,2.535980021,0,0,0,0,0,0,0,0,0,0,0,0
34,26,034,26034,Huépac,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,26,035,26035,Imuris,12536,3,0.239310785,3,0.239310785,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,26,036,26036,Magdalena,33049,61,1.845744198,4,0.121032406,57,1.724711792,0,0,0,0,0,0,0,0,0,0,0,0
37,26,037,26037,Mazatán,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,26,038,26038,Moctezuma,5173,37,7.152522714,2,0.386622849,35,6.765899865,0,0,0,0,0,0,0,0,0,0,0,0
39,26,039,26039,Naco,5774,4,0.692760651,4,0.692760651,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,26,040,26040,Nácori Chico,1531,3,1.959503592,3,1.959503592,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,26,041,26041,Nacozari de García,14369,77,5.358758438,9,0.626348389,68,4.732410049,0,0,0,0,0,0,0,0,0,0,0,0
42,26,042,26042,Navojoa,164387,527,3.205849611,97,0.590070991,411,2.500197704,0,0,0,0,12,0.072998473,0,0,0,0,0,0
43,26,043,26043,Nogales,264782,1197,4.520700048,526,1.986539871,671,2.534160177,0,0,0,0,0,0,0,0,0,0,0,0
44,26,044,26044,Ónavas,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,26,045,26045,Opodepe,2438,1,0.410172272,1,0.410172272,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,26,046,26046,Oquitoa,496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,26,047,26047,Pitiquito,9122,6,0.657750493,6,0.657750493,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,26,048,26048,Puerto Peñasco,62689,148,2.360860757,45,0.717829284,103,1.643031473,0,0,0,0,0,0,0,0,0,0,0,0
49,26,049,26049,Quiriego,3090,5,1.618122977,5,1.618122977,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,26,050,26050,Rayón,1496,1,0.668449198,1,0.668449198,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,26,051,26051,Rosario,4830,6,1.242236025,6,1.242236025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,26,052,26052,Sahuaripa,5257,13,2.472893285,13,2.472893285,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,26,053,26053,San Felipe de Jesús,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,26,054,26054,San Javier,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,26,055,26055,San Luis Río Colorado,199021,421,2.115354661,51,0.256254365,334,1.678214862,0,0,0,0,27,0.135664076,0,0,0,0,0,0
56,26,056,26056,San Miguel de Horcasitas,10729,10,0.932053313,10,0.932053313,0,0,0,0,0,0,0,0,0,0,0,0,0,0
