id,CVE_ENT,CVE_MUN,MAPA,municipio,población,enfermeras_total,tasa_total,enfermeras_primer,tasa_primer,enfermeras_segundo,tasa_segundo,enfermeras_tercer,tasa_tercer,enfermeras_apoyo,tasa_apoyo,enfermeras_escuelas,tasa_escuelas,enfermeras_administrativas,tasa_administrativas,enfermeras_no_aplica,tasa_no_aplica,enfermeras_no_asignado,tasa_no_asignado
1,27,001,27001,Balancán,58524,151,2.580138063,51,0.871437359,89,1.520743627,0,0,0,0,0,0,11,0.187957077,0,0,0,0
2,27,002,27002,Cárdenas,243229,577,2.37225002,218,0.896274704,347,1.426639093,0,0,0,0,0,0,12,0.049336222,0,0,0,0
3,27,003,27003,Centla,107731,185,1.717240163,110,1.021061719,71,0.659048927,0,0,0,0,0,0,4,0.037129517,0,0,0,0
4,27,004,27004,Centro,683607,4368,6.389636151,579,0.846977869,1548,2.264458965,2197,3.21383485,17,0.024868089,0,0,27,0.039496377,0,0,0,0
5,27,005,27005,Comalcalco,214877,406,1.889453036,174,0.809765587,221,1.028495372,0,0,0,0,0,0,11,0.051192077,0,0,0,0
6,27,006,27006,Cunduacán,137257,217,1.580975834,96,0.69941788,118,0.859701145,0,0,0,0,0,0,3,0.021856809,0,0,0,0
7,27,007,27007,Emiliano Zapata,32181,112,3.480314471,22,0.6836332,82,2.548087381,0,0,0,0,0,0,8,0.248593891,0,0,0,0
8,27,008,27008,Huimanguillo,190885,252,1.320166592,121,0.633889515,122,0.639128271,0,0,0,0,0,0,9,0.047148807,0,0,0,0
9,27,009,27009,Jalapa,37749,84,2.225224509,39,1.033139951,42,1.112612255,0,0,0,0,0,0,3,0.079472304,0,0,0,0
10,27,010,27010,Jalpa de Méndez,91185,107,1.173438614,58,0.636069529,44,0.482535505,0,0,0,0,0,0,5,0.05483358,0,0,0,0
11,27,011,27011,Jonuta,30798,69,2.240405221,21,0.681862459,42,1.363724917,0,0,0,0,0,0,6,0.194817845,0,0,0,0
12,27,012,27012,Macuspana,158601,464,2.925580545,212,1.336687663,232,1.462790272,0,0,0,0,10,0.063051305,10,0.063051305,0,0,0,0
13,27,013,27013,Nacajuca,150300,166,1.104457751,102,0.678642715,58,0.385894877,0,0,0,0,0,0,6,0.03992016,0,0,0,0
14,27,014,27014,Paraíso,96741,172,1.777943168,81,0.83728719,85,0.878634705,0,0,0,0,0,0,6,0.062021273,0,0,0,0
15,27,015,27015,Tacotalpa,47905,109,2.275336604,55,1.148105626,47,0.981108444,0,0,0,0,0,0,7,0.146122534,0,0,0,0
16,27,016,27016,Teapa,58718,150,2.554582922,52,0.885588746,91,1.549780306,0,0,0,0,0,0,7,0.11921387,0,0,0,0
17,27,017,27017,Tenosique,62310,186,2.985074627,28,0.449366073,149,2.391269459,0,0,1,0.016048788,0,0,8,0.128390307,0,0,0,0
8888,8888,8888,8888,No Disponible,0,123,0,0,0,24,0,0,0,0,0,67,0,0,0,0,0,32,0
9999,9999,9999,9999,Total Tabasco,2402598,7898,3.287274858,2019,0.840340332,3412,1.420129377,2197,0.9144268,18,0.00749189,77,0.032048641,143,0.059518904,0,0,32,0.013318916
