id,CVE_ENT,CVE_MUN,MAPA,municipio,población,enfermeras_total,tasa_total,enfermeras_primer,tasa_primer,enfermeras_segundo,tasa_segundo,enfermeras_tercer,tasa_tercer,enfermeras_apoyo,tasa_apoyo,enfermeras_escuelas,tasa_escuelas,enfermeras_administrativas,tasa_administrativas,enfermeras_no_aplica,tasa_no_aplica,enfermeras_no_asignado,tasa_no_asignado
1,28,001,28001,Abasolo,9822,20,2.036245164,4,0.407249033,16,1.628996131,0,0,0,0,0,0,0,0,0,0,0,0
2,28,002,28002,Aldama,28725,48,1.671018277,16,0.557006092,32,1.114012185,0,0,0,0,0,0,0,0,0,0,0,0
3,28,003,28003,Altamira,269790,206,0.763556841,81,0.300233515,125,0.463323326,0,0,0,0,0,0,0,0,0,0,0,0
4,28,004,28004,Antiguo Morelos,8850,8,0.903954802,8,0.903954802,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,28,005,28005,Burgos,4256,5,1.17481203,5,1.17481203,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,28,006,28006,Bustamante,7542,11,1.458499072,11,1.458499072,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,28,007,28007,Camargo,16546,13,0.785688384,13,0.785688384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,28,008,28008,Casas,4143,5,1.206854936,5,1.206854936,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,28,009,28009,Ciudad Madero,205933,1332,6.468123127,100,0.485594829,1221,5.929112867,0,0,0,0,11,0.053415431,0,0,0,0,0,0
10,28,010,28010,Cruillas,1671,5,2.992220227,5,2.992220227,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,28,011,28011,Gómez Farías,8288,12,1.447876448,12,1.447876448,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,28,012,28012,González,41470,22,0.530503979,22,0.530503979,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,28,013,28013,Güémez,15032,12,0.798296966,12,0.798296966,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,28,014,28014,Guerrero,3803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,28,015,28015,Gustavo Díaz Ordaz,15677,7,0.446514001,7,0.446514001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,28,016,28016,Hidalgo,17012,67,3.938396426,17,0.999294616,50,2.93910181,0,0,0,0,0,0,0,0,0,0,0,0
17,28,017,28017,Jaumave,15994,83,5.189446042,56,3.501312992,0,0,0,0,1,0.062523446,0,0,26,1.625609604,0,0,0,0
18,28,018,28018,Jiménez,6375,10,1.568627451,10,1.568627451,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,28,019,28019,Llera,14645,19,1.297371116,19,1.297371116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,28,020,28020,Mainero,2048,3,1.46484375,3,1.46484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,28,021,28021,El Mante,106144,820,7.725354236,138,1.300120591,599,5.643277058,0,0,0,0,51,0.480479349,32,0.301477238,0,0,0,0
22,28,022,28022,Matamoros,541979,1116,2.059120372,243,0.448356855,823,1.51850902,0,0,0,0,16,0.029521439,34,0.062733058,0,0,0,0
23,28,023,28023,Méndez,4280,3,0.700934579,3,0.700934579,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,28,024,28024,Mier,6385,8,1.25293657,8,1.25293657,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,28,025,28025,Miguel Alemán,26237,160,6.098258185,15,0.571711705,137,5.221633571,0,0,0,0,0,0,8,0.304912909,0,0,0,0
26,28,026,28026,Miquihuana,3704,4,1.079913607,4,1.079913607,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,28,027,28027,Nuevo Laredo,425058,929,2.185584085,158,0.371713978,733,1.724470543,0,0,0,0,38,0.089399564,0,0,0,0,0,0
28,28,028,28028,Nuevo Morelos,3810,4,1.049868766,4,1.049868766,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,28,029,28029,Ocampo,13190,11,0.833965125,11,0.833965125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,28,030,28030,Padilla,13618,21,1.542076663,15,1.101483331,0,0,0,0,0,0,0,0,6,0.440593332,0,0,0,0
31,28,031,28031,Palmillas,1917,5,2.608242045,5,2.608242045,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,28,032,28032,Reynosa,704767,1895,2.688831912,135,0.191552669,1700,2.412144723,0,0,0,0,60,0.08513452,0,0,0,0,0,0
33,28,033,28033,Río Bravo,132484,135,1.018990972,25,0.188702032,110,0.830288941,0,0,0,0,0,0,0,0,0,0,0,0
34,28,034,28034,San Carlos,7411,55,7.421400621,13,1.754149238,42,5.667251383,0,0,0,0,0,0,0,0,0,0,0,0
35,28,035,28035,San Fernando,51405,130,2.528936874,43,0.836494504,71,1.3811886,0,0,0,0,0,0,16,0.311253769,0,0,0,0
36,28,036,28036,San Nicolás,926,2,2.159827214,2,2.159827214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,28,037,28037,Soto la Marina,23673,72,3.041439615,15,0.633633253,57,2.407806362,0,0,0,0,0,0,0,0,0,0,0,0
38,28,038,28038,Tampico,297562,1147,3.854658861,130,0.436883742,806,2.7086792,53,0.178114141,0,0,129,0.433523098,29,0.097458681,0,0,0,0
39,28,039,28039,Tula,28230,106,3.754870705,33,1.168969182,73,2.585901523,0,0,0,0,0,0,0,0,0,0,0,0
40,28,040,28040,Valle Hermoso,60055,45,0.74931313,32,0.532844892,3,0.049954209,0,0,0,0,10,0.166514029,0,0,0,0,0,0
41,28,041,28041,Victoria,349688,2011,5.750840749,235,0.672027636,1099,3.142801583,543,1.552812793,1,0.002859692,0,0,133,0.380339045,0,0,0,0
42,28,042,28042,Villagrán,5361,6,1.11919418,6,1.11919418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,28,043,28043,Xicoténcatl,22229,36,1.619506051,30,1.349588376,0,0,0,0,0,0,6,0.269917675,0,0,0,0,0,0
8888,8888,8888,8888,No Disponible,0,239,0,5,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0
9999,9999,9999,9999,Total Tamaulipas,3527735,10848,3.07506091,1714,0.485864159,7697,2.181853229,596,0.168946931,2,0.000566936,555,0.157324742,284,0.080504913,0,0,0,0
