id,CVE_ENT,CVE_MUN,MAPA,municipio,población,enfermeras_total,tasa_total,enfermeras_primer,tasa_primer,enfermeras_segundo,tasa_segundo,enfermeras_tercer,tasa_tercer,enfermeras_apoyo,tasa_apoyo,enfermeras_escuelas,tasa_escuelas,enfermeras_administrativas,tasa_administrativas,enfermeras_no_aplica,tasa_no_aplica,enfermeras_no_asignado,tasa_no_asignado
1,29,001,29001,Amaxac de Guerrero,11403,7,0.613873542,7,0.613873542,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,29,002,29002,Apetatitlán de Antonio Carvajal,16003,779,48.67837281,28,1.749671937,326,20.3711804,424,26.49503218,1,0.062488283,0,0,0,0,0,0,0,0
3,29,003,29003,Atlangatepec,7087,12,1.693241146,12,1.693241146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,29,004,29004,Atltzayanca,18111,24,1.325161504,24,1.325161504,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,29,005,29005,Apizaco,80725,345,4.273768969,91,1.127283989,208,2.576649117,0,0,0,0,35,0.433570765,11,0.136265098,0,0,0,0
6,29,006,29006,Calpulalpan,51172,157,3.068084108,38,0.742593606,119,2.325490503,0,0,0,0,0,0,0,0,0,0,0,0
7,29,007,29007,El Carmen Tequexquitla,17332,53,3.057927533,3,0.173090238,50,2.884837295,0,0,0,0,0,0,0,0,0,0,0,0
8,29,008,29008,Cuapiaxtla,16222,16,0.986314881,16,0.986314881,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,29,009,29009,Cuaxomulco,5928,9,1.518218623,9,1.518218623,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,29,010,29010,Chiautempan,73215,70,0.956088233,62,0.846821007,8,0.109267227,0,0,0,0,0,0,0,0,0,0,0,0
11,29,011,29011,Muñoz de Domingo Arenas,4755,4,0.841219769,4,0.841219769,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,29,012,29012,Españita,9416,17,1.805437553,17,1.805437553,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,29,013,29013,Huamantla,98764,256,2.592037585,76,0.769511158,167,1.690899518,0,0,2,0.020250294,0,0,11,0.111376615,0,0,0,0
14,29,014,29014,Hueyotlipan,15190,22,1.448321264,22,1.448321264,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,29,015,29015,Ixtacuixtla de Mariano Matamoros,38970,37,0.949448294,37,0.949448294,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,29,016,29016,Ixtenco,7504,6,0.799573561,6,0.799573561,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,29,017,29017,Mazatecochco de José María Morelos,11592,7,0.603864734,7,0.603864734,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,29,018,29018,Contla de Juan Cuamatzi,38579,74,1.918141994,9,0.23328754,65,1.684854454,0,0,0,0,0,0,0,0,0,0,0,0
19,29,019,29019,Tepetitla de Lardizábal,22274,13,0.583640119,13,0.583640119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,29,020,29020,Sanctórum de Lázaro Cárdenas,9432,7,0.742154368,7,0.742154368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,29,021,29021,Nanacamilpa de Mariano Arista,18686,13,0.695708017,13,0.695708017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,29,022,29022,Acuamanala de Miguel Hidalgo,6432,2,0.310945274,2,0.310945274,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,29,023,29023,Natívitas,26309,109,4.143068912,19,0.722186324,90,3.420882588,0,0,0,0,0,0,0,0,0,0,0,0
24,29,024,29024,Panotla,28357,25,0.881616532,25,0.881616532,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,29,025,29025,San Pablo del Monte,82688,162,1.959171827,31,0.374903251,131,1.584268576,0,0,0,0,0,0,0,0,0,0,0,0
26,29,026,29026,Santa Cruz Tlaxcala,24116,28,1.161054901,12,0.497594958,0,0,0,0,0,0,16,0.663459944,0,0,0,0,0,0
27,29,027,29027,Tenancingo,12974,8,0.616617851,6,0.462463388,2,0.154154463,0,0,0,0,0,0,0,0,0,0,0,0
28,29,028,29028,Teolocholco,25257,19,0.752266698,16,0.633487746,3,0.118778952,0,0,0,0,0,0,0,0,0,0,0,0
29,29,029,29029,Tepeyanco,13328,11,0.825330132,11,0.825330132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,29,030,29030,Terrenate,15475,17,1.098546042,17,1.098546042,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,29,031,29031,Tetla de la Solidaridad,35284,23,0.651853531,23,0.651853531,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,29,032,29032,Tetlatlahuca,13561,7,0.516186122,7,0.516186122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,29,033,29033,Tlaxcala,99896,839,8.398734684,56,0.560583006,731,7.317610315,0,0,0,0,34,0.340353968,8,0.080083287,10,0.100104108,0,0
34,29,034,29034,Tlaxco,45438,112,2.464897223,55,1.2104406,57,1.254456622,0,0,0,0,0,0,0,0,0,0,0,0
35,29,035,29035,Tocatlán,6294,6,0.953288847,6,0.953288847,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,29,036,29036,Totolac,22529,7,0.31071064,7,0.31071064,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,29,037,29037,Ziltlaltépec de Trinidad Sánchez Santos,9207,10,1.086130118,10,1.086130118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,29,038,29038,Tzompantepec,18006,322,17.88292791,15,0.833055648,307,17.04987226,0,0,0,0,0,0,0,0,0,0,0,0
39,29,039,29039,Xaloztoc,25607,22,0.859140079,19,0.741984614,3,0.117155465,0,0,0,0,0,0,0,0,0,0,0,0
40,29,040,29040,Xaltocan,10601,16,1.509291576,16,1.509291576,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,29,041,29041,Papalotla de Xicohténcatl,33499,24,0.716439297,21,0.626884385,3,0.089554912,0,0,0,0,0,0,0,0,0,0,0,0
42,29,042,29042,Xicohtzinco,14197,12,0.845248996,8,0.563499331,4,0.281749665,0,0,0,0,0,0,0,0,0,0,0,0
43,29,043,29043,Yauhquemehcan,42242,15,0.355096823,15,0.355096823,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,29,044,29044,Zacatelco,45717,148,3.237307785,30,0.656211037,70,1.531159087,0,0,0,0,48,1.04993766,0,0,0,0,0,0
45,29,045,29045,Benito Juárez,6211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,29,046,29046,Emiliano Zapata,4951,7,1.413855787,7,1.413855787,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,29,047,29047,Lázaro Cárdenas,3534,4,1.131861913,4,1.131861913,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,29,048,29048,La Magdalena Tlaltelulco,19036,5,0.262660223,5,0.262660223,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,29,049,29049,San Damián Texóloc,5884,4,0.679809653,4,0.679809653,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,29,050,29050,San Francisco Tetlanohcan,11761,4,0.340107134,4,0.340107134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,29,051,29051,San Jerónimo Zacualpan,4092,2,0.488758553,2,0.488758553,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,29,052,29052,San José Teacalco,6436,5,0.77688005,5,0.77688005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,29,053,29053,San Juan Huactzinco,7688,2,0.260145682,2,0.260145682,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,29,054,29054,San Lorenzo Axocomanitla,5689,2,0.351555634,2,0.351555634,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,29,055,29055,San Lucas Tecopilco,3077,4,1.299967501,4,1.299967501,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,29,056,29056,Santa Ana Nopalucan,7952,3,0.377263581,3,0.377263581,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,29,057,29057,Santa Apolonia Teacalco,4636,2,0.431406385,2,0.431406385,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,29,058,29058,Santa Catarina Ayometla,9463,4,0.422698933,4,0.422698933,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,29,059,29059,Santa Cruz Quilehtla,7750,7,0.903225806,7,0.903225806,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,29,060,29060,Santa Isabel Xiloxoxtla,5443,7,1.286055484,4,0.734888848,3,0.551166636,0,0,0,0,0,0,0,0,0,0,0,0
8888,8888,8888,8888,No Disponible,0,41,0,5,0,22,0,0,0,0,0,10,0,0,0,0,0,4,0
9999,9999,9999,9999,Total Tlaxcala,1342977,3975,2.959842201,992,0.738657475,2369,1.763991491,424,0.315716501,3,0.002233843,143,0.106479858,30,0.022338432,10,0.007446144,4,0.002978458
