id,CVE_ENT,CVE_MUN,MAPA,municipio,población,enfermeras_total,tasa_total,enfermeras_primer,tasa_primer,enfermeras_segundo,tasa_segundo,enfermeras_tercer,tasa_tercer,enfermeras_apoyo,tasa_apoyo,enfermeras_escuelas,tasa_escuelas,enfermeras_administrativas,tasa_administrativas,enfermeras_no_aplica,tasa_no_aplica,enfermeras_no_asignado,tasa_no_asignado
1,30,001,30001,Acajete,9701,5,0.515410782,5,0.515410782,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,30,002,30002,Acatlán,3441,1,0.290613194,1,0.290613194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,30,003,30003,Acayucan,80815,60,0.742436429,60,0.742436429,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,30,004,30004,Actopan,41742,25,0.598917158,25,0.598917158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,30,005,30005,Acula,5253,3,0.571102227,3,0.571102227,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,30,006,30006,Acultzingo,23100,14,0.606060606,14,0.606060606,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,30,007,30007,Camarón de Tejeda,6538,4,0.611807892,4,0.611807892,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,30,008,30008,Alpatláhuac,10338,6,0.580383053,6,0.580383053,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,30,009,30009,Alto Lucero de Gutiérrez Barrios,28184,39,1.383763838,39,1.383763838,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,010,30010,Altotonga,64234,77,1.198742099,25,0.38920198,52,0.809540119,0,0,0,0,0,0,0,0,0,0,0,0
11,30,011,30011,Alvarado,57035,41,0.718856842,20,0.350661874,21,0.368194968,0,0,0,0,0,0,0,0,0,0,0,0
12,30,012,30012,Amatitlán,7866,4,0.508517671,4,0.508517671,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,30,013,30013,Naranjos Amatlán,26843,180,6.705658831,32,1.192117126,145,5.401780725,0,0,0,0,3,0.111760981,0,0,0,0,0,0
14,30,014,30014,Amatlán de los Reyes,46955,25,0.532424662,25,0.532424662,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,30,015,30015,Angel R. Cabada,33839,34,1.004757824,34,1.004757824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,30,016,30016,La Antigua,28682,234,8.158426888,14,0.48811101,220,7.670315878,0,0,0,0,0,0,0,0,0,0,0,0
17,30,017,30017,Apazapan,4709,1,0.212359312,1,0.212359312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,30,018,30018,Aquila,1978,2,1.011122346,2,1.011122346,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,30,019,30019,Astacinga,6909,4,0.578954986,4,0.578954986,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,30,020,30020,Atlahuilco,11577,7,0.604647145,7,0.604647145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,30,021,30021,Atoyac,23461,63,2.685307532,13,0.554111078,50,2.131196454,0,0,0,0,0,0,0,0,0,0,0,0
22,30,022,30022,Atzacan,22651,7,0.309037129,7,0.309037129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,30,023,30023,Atzalan,49180,101,2.053680358,37,0.752338349,64,1.301342009,0,0,0,0,0,0,0,0,0,0,0,0
24,30,024,30024,Tlaltetela,16485,6,0.363967243,6,0.363967243,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,30,025,30025,Ayahualulco,27217,12,0.440900908,12,0.440900908,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,30,026,30026,Banderilla,25993,11,0.423190859,11,0.423190859,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,30,027,30027,Benito Juárez,16120,9,0.558312655,9,0.558312655,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,30,028,30028,Boca del Río,144550,214,1.480456589,29,0.200622622,185,1.279833967,0,0,0,0,0,0,0,0,0,0,0,0
29,30,029,30029,Calcahualco,13701,7,0.510911612,7,0.510911612,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,030,30030,Camerino Z. Mendoza,41835,26,0.621489184,26,0.621489184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,30,031,30031,Carrillo Puerto,18888,7,0.370605676,7,0.370605676,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,30,032,30032,Catemaco,49451,96,1.941315646,31,0.626883177,65,1.314432469,0,0,0,0,0,0,0,0,0,0,0,0
33,30,033,30033,Cazones de Herrera,24421,10,0.409483641,10,0.409483641,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,30,034,30034,Cerro Azul,25011,137,5.47758986,29,1.159489824,108,4.318100036,0,0,0,0,0,0,0,0,0,0,0,0
35,30,035,30035,Citlaltépetl,11165,9,0.806090461,9,0.806090461,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,30,036,30036,Coacoatzintla,11018,4,0.363042294,4,0.363042294,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,30,037,30037,Coahuitlán,8176,6,0.733855186,6,0.733855186,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,30,038,30038,Coatepec,93911,130,1.38428938,54,0.575012512,76,0.809276869,0,0,0,0,0,0,0,0,0,0,0,0
39,30,039,30039,Coatzacoalcos,310698,1106,3.559726809,163,0.524625199,915,2.944981944,0,0,0,0,8,0.025748476,20,0.06437119,0,0,0,0
40,30,040,30040,Coatzintla,55016,15,0.272647957,15,0.272647957,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,30,041,30041,Coetzala,2355,2,0.8492569,2,0.8492569,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,30,042,30042,Colipa,5743,4,0.696500087,4,0.696500087,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,30,043,30043,Comapa,19876,7,0.352183538,7,0.352183538,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,30,044,30044,Córdoba,204721,724,3.536520435,164,0.801090264,541,2.642620933,0,0,0,0,0,0,19,0.092809238,0,0,0,0
45,30,045,30045,Cosamaloapan de Carpio,54737,278,5.078831503,40,0.730767123,234,4.274987668,0,0,0,0,0,0,4,0.073076712,0,0,0,0
46,30,046,30046,Cosautlán de Carvajal,16167,8,0.494835158,8,0.494835158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
