id,CVE_ENT,CVE_MUN,MAPA,municipio,población,enfermeras_total,tasa_total,enfermeras_primer,tasa_primer,enfermeras_segundo,tasa_segundo,enfermeras_tercer,tasa_tercer,enfermeras_apoyo,tasa_apoyo,enfermeras_escuelas,tasa_escuelas,enfermeras_administrativas,tasa_administrativas,enfermeras_no_aplica,tasa_no_aplica,enfermeras_no_asignado,tasa_no_asignado
1,31,001,31001,Abalá,6550,2,0.305343511,2,0.305343511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,31,002,31002,Acanceh,16772,80,4.769854519,6,0.357739089,74,4.41211543,0,0,0,0,0,0,0,0,0,0,0,0
3,31,003,31003,Akil,12285,4,0.325600326,4,0.325600326,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,31,004,31004,Baca,6195,1,0.1614205,1,0.1614205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,31,005,31005,Bokobá,2167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,31,006,31006,Buctzotz,9159,9,0.982640026,9,0.982640026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,31,007,31007,Cacalchén,7490,3,0.400534045,3,0.400534045,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,31,008,31008,Calotmul,3949,2,0.506457331,2,0.506457331,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,31,009,31009,Cansahcab,4466,2,0.447828034,2,0.447828034,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,31,010,31010,Cantamayec,2755,1,0.362976407,1,0.362976407,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,31,011,31011,Celestún,8389,7,0.834426034,7,0.834426034,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,31,012,31012,Cenotillo,3736,3,0.802997859,3,0.802997859,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,31,013,31013,Conkal,16671,11,0.659828445,10,0.599844041,0,0,0,0,0,0,0,0,0,0,1,0.059984404,0,0
14,31,014,31014,Cuncunul,1714,2,1.166861144,2,1.166861144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,31,015,31015,Cuzamá,5560,2,0.35971223,2,0.35971223,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,31,016,31016,Chacsinkín,3104,3,0.966494845,3,0.966494845,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,31,017,31017,Chankom,4686,9,1.920614597,8,1.707212975,0,0,0,0,1,0.213401622,0,0,0,0,0,0,0,0
18,31,018,31018,Chapab,3385,9,2.658788774,9,2.658788774,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,31,019,31019,Chemax,38934,29,0.744850259,29,0.744850259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,31,020,31020,Chicxulub Pueblo,4497,1,0.222370469,1,0.222370469,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,31,021,31021,Chichimilá,9406,10,1.06315118,10,1.06315118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,31,022,31022,Chikindzonot,4363,5,1.146000458,5,1.146000458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,31,023,31023,Chocholá,4863,2,0.411268764,2,0.411268764,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,31,024,31024,Chumayel,3244,2,0.616522811,2,0.616522811,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,31,025,31025,Dzan,6003,9,1.499250375,9,1.499250375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,31,026,31026,Dzemul,3622,1,0.276090558,1,0.276090558,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,31,027,31027,Dzidzantún,8345,8,0.958657879,8,0.958657879,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,31,028,31028,Dzilam de Bravo,2936,2,0.68119891,2,0.68119891,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,31,029,31029,Dzilam González,6240,1,0.16025641,1,0.16025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,31,030,31030,Dzitás,4015,3,0.747198007,3,0.747198007,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,031,31031,Dzoncauich,2818,3,1.064584812,3,1.064584812,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,31,032,31032,Espita,16779,10,0.595983074,10,0.595983074,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,31,033,31033,Halachó,21255,6,0.282286521,6,0.282286521,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,31,034,31034,Hocabá,6514,3,0.460546515,3,0.460546515,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,31,035,31035,Hoctún,6384,3,0.469924812,3,0.469924812,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,31,036,31036,Homún,8090,3,0.370828183,3,0.370828183,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,31,037,31037,Huhí,5250,1,0.19047619,1,0.19047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,31,038,31038,Hunucmá,35137,24,0.683040669,24,0.683040669,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,31,039,31039,Ixil,4186,1,0.238891543,1,0.238891543,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,31,040,31040,Izamal,28555,69,2.416389424,15,0.525302049,54,1.891087375,0,0,0,0,0,0,0,0,0,0,0,0
41,31,041,31041,Kanasín,141939,56,0.394535681,56,0.394535681,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,31,042,31042,Kantunil,5553,3,0.540248514,3,0.540248514,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,31,043,31043,Kaua,3405,2,0.587371512,2,0.587371512,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,31,044,31044,Kinchil,7530,3,0.398406375,3,0.398406375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,31,045,31045,Kopomá,2677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,31,046,31046,Mama,3296,3,0.910194175,3,0.910194175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,31,047,31047,Maní,5968,6,1.00536193,6,1.00536193,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,31,048,31048,Maxcanú,23991,62,2.584302447,12,0.50018757,50,2.084114876,0,0,0,0,0,0,0,0,0,0,0,0
49,31,049,31049,Mayapán,3965,1,0.25220681,1,0.25220681,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,31,050,31050,Mérida,995129,5509,5.535965689,585,0.587863483,3349,3.365392828,1377,1.383740199,0,0,75,0.075367113,106,0.106518853,17,0.017083212,0,0
51,31,051,31051,Mocochá,3430,1,0.29154519,1,0.29154519,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,31,052,31052,Motul,37804,127,3.359432864,19,0.502592318,108,2.856840546,0,0,0,0,0,0,0,0,0,0,0,0
53,31,053,31053,Muna,13494,3,0.222321032,3,0.222321032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,31,054,31054,Muxupip,2990,2,0.668896321,2,0.668896321,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,31,055,31055,Opichén,7080,3,0.423728814,3,0.423728814,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,31,056,31056,Oxkutzcab,33854,82,2.422165771,14,0.413540497,68,2.008625273,0,0,0,0,0,0,0,0,0,0,0,0
57,31,057,31057,Panabá,7766,8,1.030131342,8,1.030131342,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,31,058,31058,Peto,25954,90,3.467673576,27,1.040302073,63,2.427371503,0,0,0,0,0,0,0,0,0,0,0,0
59,31,059,31059,Progreso,66008,58,0.878681372,58,0.878681372,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,31,060,31060,Quintana Roo,976,1,1.024590164,1,1.024590164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,31,061,31061,Río Lagartos,3974,2,0.503271263,2,0.503271263,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,31,062,31062,Sacalum,4962,2,0.403063281,2,0.403063281,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,31,063,31063,Samahil,5631,5,0.887941751,5,0.887941751,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,31,064,31064,Sanahcat,1701,1,0.587889477,1,0.587889477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,31,065,31065,San Felipe,2118,2,0.944287063,2,0.944287063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,31,066,31066,Santa Elena,4220,6,1.421800948,6,1.421800948,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,31,067,31067,Seyé,10053,3,0.298418383,3,0.298418383,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,31,068,31068,Sinanché,3206,2,0.623830318,2,0.623830318,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,31,069,31069,Sotuta,8967,1,0.111520018,1,0.111520018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,31,070,31070,Sucilá,3971,4,1.007302946,4,1.007302946,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,31,071,31071,Sudzal,1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,31,072,31072,Suma,1857,1,0.538502962,1,0.538502962,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,31,073,31073,Tahdziú,5854,2,0.341646737,2,0.341646737,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,31,074,31074,Tahmek,3774,1,0.264970853,1,0.264970853,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,31,075,31075,Teabo,6921,8,1.155902326,8,1.155902326,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,31,076,31076,Tecoh,17939,4,0.222977869,4,0.222977869,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,31,077,31077,Tekal de Venegas,2683,1,0.372717108,1,0.372717108,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,31,078,31078,Tekantó,3747,2,0.533760342,2,0.533760342,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,31,079,31079,Tekax,45062,209,4.638054236,59,1.309307177,150,3.32874706,0,0,0,0,0,0,0,0,0,0,0,0
80,31,080,31080,Tekit,11020,3,0.272232305,3,0.272232305,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,31,081,31081,Tekom,3355,3,0.894187779,2,0.596125186,0,0,0,0,1,0.298062593,0,0,0,0,0,0,0,0
82,31,082,31082,Telchac Pueblo,3512,1,0.284738041,1,0.284738041,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,31,083,31083,Telchac Puerto,1915,1,0.522193211,1,0.522193211,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,31,084,31084,Temax,7037,4,0.568424044,4,0.568424044,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,31,085,31085,Temozón,16680,14,0.839328537,14,0.839328537,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,31,086,31086,Tepakán,2133,2,0.937646507,2,0.937646507,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,31,087,31087,Tetiz,5464,2,0.366032211,2,0.366032211,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,31,088,31088,Teya,1917,1,0.521648409,1,0.521648409,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,31,089,31089,Ticul,40495,188,4.642548463,67,1.65452525,68,1.679219657,0,0,0,0,10,0.246944067,43,1.061859489,0,0,0,0
90,31,090,31090,Timucuy,7503,1,0.133280021,1,0.133280021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,31,091,31091,Tinum,12700,12,0.94488189,12,0.94488189,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,31,092,31092,Tixcacalcupul,7888,8,1.014198783,8,1.014198783,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,31,093,31093,Tixkokob,18420,14,0.760043431,14,0.760043431,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,31,094,31094,Tixméhuac,5444,1,0.183688464,1,0.183688464,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,31,095,31095,Tixpéhual,5690,1,0.175746924,1,0.175746924,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,31,096,31096,Tizimín,80672,235,2.913030543,57,0.706564855,176,2.181673939,0,0,2,0.024791749,0,0,0,0,0,0,0,0
97,31,097,31097,Tunkás,3684,1,0.271444083,1,0.271444083,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,31,098,31098,Tzucacab,15346,15,0.977453408,14,0.912289848,0,0,0,0,1,0.065163561,0,0,0,0,0,0,0,0
99,31,099,31099,Uayma,4191,8,1.908852303,8,1.908852303,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,31,100,31100,Ucú,4049,3,0.740923685,3,0.740923685,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,31,101,31101,Umán,69147,130,1.880052641,28,0.404934415,100,1.44619434,0,0,2,0.028923887,0,0,0,0,0,0,0,0
102,31,102,31102,Valladolid,85460,349,4.083781886,98,1.146735315,178,2.082845776,0,0,0,0,0,0,73,0.854200796,0,0,0,0
103,31,103,31103,Xocchel,3451,2,0.579542162,2,0.579542162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
