id,CVE_ENT,CVE_MUN,MAPA,municipio,población,enfermeras_total,tasa_total,enfermeras_primer,tasa_primer,enfermeras_segundo,tasa_segundo,enfermeras_tercer,tasa_tercer,enfermeras_apoyo,tasa_apoyo,enfermeras_escuelas,tasa_escuelas,enfermeras_administrativas,tasa_administrativas,enfermeras_no_aplica,tasa_no_aplica,enfermeras_no_asignado,tasa_no_asignado
1,32,001,32001,Apozol,6260,6,0.958466454,6,0.958466454,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,32,002,32002,Apulco,4942,4,0.809388911,4,0.809388911,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,32,003,32003,Atolinga,2277,4,1.756697409,4,1.756697409,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,32,004,32004,Benito Juárez,4493,5,1.112842199,5,1.112842199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,32,005,32005,Calera,45759,136,2.972092922,26,0.568194235,110,2.403898687,0,0,0,0,0,0,0,0,0,0,0,0
6,32,006,32006,Cañitas de Felipe Pescador,8255,10,1.211387038,10,1.211387038,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,32,007,32007,Concepción del Oro,12115,87,7.181180355,34,2.8064383,52,4.292199752,0,0,0,0,0,0,1,0.082542303,0,0,0,0
8,32,008,32008,Cuauhtémoc,13466,10,0.74261102,10,0.74261102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,32,009,32009,Chalchihuites,10086,10,0.991473329,10,0.991473329,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,32,010,32010,Fresnillo,240532,1161,4.826800592,150,0.623617648,987,4.103404121,0,0,0,0,7,0.029102157,17,0.070676667,0,0,0,0
11,32,011,32011,Trinidad García de la Cadena,3362,3,0.892325996,3,0.892325996,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,32,012,32012,Genaro Codina,8168,7,0.857002938,7,0.857002938,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,32,013,32013,General Enrique Estrada,6644,2,0.30102348,2,0.30102348,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,32,014,32014,General Francisco R. Murguía,20191,28,1.386756476,28,1.386756476,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,32,015,32015,El Plateado de Joaquín Amaro,1579,4,2.533248892,4,2.533248892,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,32,016,32016,General Pánfilo Natera,23526,18,0.765110941,18,0.765110941,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,32,017,32017,Guadalupe,211740,879,4.151317654,196,0.92566355,638,3.01312931,0,0,17,0.080287145,28,0.13223765,0,0,0,0,0,0
18,32,018,32018,Huanusco,4547,5,1.099626127,5,1.099626127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,32,019,32019,Jalpa,25296,105,4.15085389,16,0.632511069,75,2.964895636,0,0,0,0,0,0,14,0.553447185,0,0,0,0
20,32,020,32020,Jerez,59910,292,4.873977633,60,1.001502253,229,3.822400267,0,0,0,0,3,0.050075113,0,0,0,0,0,0
21,32,021,32021,Jiménez del Teul,4465,7,1.56774916,7,1.56774916,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,32,022,32022,Juan Aldama,19749,67,3.392576839,16,0.810167603,51,2.582409236,0,0,0,0,0,0,0,0,0,0,0,0
23,32,023,32023,Juchipila,12251,38,3.101787609,6,0.489755938,32,2.612031671,0,0,0,0,0,0,0,0,0,0,0,0
24,32,024,32024,Loreto,53709,246,4.580237949,29,0.53994675,217,4.040291199,0,0,0,0,0,0,0,0,0,0,0,0
25,32,025,32025,Luis Moya,13184,11,0.83434466,11,0.83434466,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,32,026,32026,Mazapil,17774,33,1.856644537,33,1.856644537,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,32,027,32027,Melchor Ocampo,2736,6,2.192982456,6,2.192982456,0,0,0,0,0,0,0,0,0,0,0,0,0,0
